run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,HLT_PFMET120_PFMHT120_IDTight,HLT_PFMETNoMu120_PFMHTNoMu_IDTight,HLT_PFMET110_PFMHT110_IDTight,HLT_PFMET170_HBHECleaned,HLT_PFMET170_NotCleaned,HLT_PFHT800,HLT_PFHT900,HLT_IsoMu20,HLT_IsoMu24,HLT_IsoTkMu24,HLT_Mu50,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status
279975,93,65657494,59.6673,-1.32388,79.3708,-1.27149,0.370569,-19.7035,8,4,2,214.186,265.163,73.7012,63.0526,1,0,1,53.5027,1,0,0,0.559067,23,1787,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,66271511,90.4604,0.19242,98.8771,0.0200788,0.262886,-8.41678,11,4,2,376.121,492.947,201.817,94.771,1,0,1,31.5823,3,1,0,0.863218,24,1954,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,65376405,46.1463,3.01003,33.4974,3.08368,1,12.6489,2,1,0,33.4974,47.3032,33.4974,13.8057,2,0,2,555.826,0,0,0,0.130038,20,1629,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,65376983,129.9,2.01411,119.886,1.93236,1,10.014,6,1,1,119.886,189.211,119.886,16.6304,0,0,0,0,0,0,0,0.49064,25,1761,3,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,1,1,0
279975,93,66219093,48.2759,1.06452,0,0,0,48.2759,5,0,0,0,75.037,21.2857,19.0261,0,0,0,0,1,0,0,0.592331,35,2009,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0
279975,93,66798550,20.6175,1.59164,38.6986,2.77067,0.0477396,-18.0811,17,7,4,810.619,959.561,283.562,235.062,1,0,1,10.289,2,0,0,0.554238,47,2620,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,65714515,115.241,-2.38623,102.507,-2.66425,1,12.7343,8,1,1,102.507,202.584,102.507,22.082,0,0,0,0,0,0,0,0.535274,26,1895,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,66930457,42.8194,-2.97201,0,0,0,42.8194,3,0,0,0,38.9327,16.6567,11.8074,0,0,0,0,0,0,0,0.332696,28,1815,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0
279975,93,66393624,131.178,-0.0626032,148.818,-0.39811,0.735963,-17.6393,16,2,1,202.208,410.009,166.166,36.0424,0,0,0,0,2,0,0,0.843391,28,2023,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,66081223,126.38,-2.25379,158.82,1.69332,0.92717,-32.4405,8,2,1,171.296,244.467,123.948,47.3476,1,0,1,28.1373,2,0,0,0.554633,25,1959,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
