key,size_bytes,size_gb,uri,url,role,family,local_path
mc_364127.Zee_PTV1000_E_CMS.1lep.root,91597597,0.091597597,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_364127.Zee_PTV1000_E_CMS.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_364127.Zee_PTV1000_E_CMS.1lep.root,sm_mc,Zjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364127.Zee_PTV1000_E_CMS.1lep.root
mc_364138.Ztautau_PTV280_500_CFilterBVeto.1lep.root,30717163,0.030717163,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_364138.Ztautau_PTV280_500_CFilterBVeto.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_364138.Ztautau_PTV280_500_CFilterBVeto.1lep.root,sm_mc,Zjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364138.Ztautau_PTV280_500_CFilterBVeto.1lep.root
mc_364140.Ztautau_PTV500_1000.1lep.root,97105738,0.097105738,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364140.Ztautau_PTV500_1000.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364140.Ztautau_PTV500_1000.1lep.root,sm_mc,Zjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364140.Ztautau_PTV500_1000.1lep.root
mc_364141.Ztautau_PTV1000_E_CMS.1lep.root,38690339,0.038690339,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364141.Ztautau_PTV1000_E_CMS.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364141.Ztautau_PTV1000_E_CMS.1lep.root,sm_mc,Zjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364141.Ztautau_PTV1000_E_CMS.1lep.root
mc_363356.ZqqZll.1lep.root,214883983,0.214883983,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_363356.ZqqZll.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_363356.ZqqZll.1lep.root,sm_mc,diboson,D:\cern_open_data\atlas_nframe_q99_analogue\mc_363356.ZqqZll.1lep.root
mc_363358.WqqZll.1lep.root,208474649,0.208474649,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_363358.WqqZll.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_363358.WqqZll.1lep.root,sm_mc,diboson,D:\cern_open_data\atlas_nframe_q99_analogue\mc_363358.WqqZll.1lep.root
mc_363490.llll.1lep.root,347459793,0.347459793,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_363490.llll.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_363490.llll.1lep.root,sm_mc,diboson,D:\cern_open_data\atlas_nframe_q99_analogue\mc_363490.llll.1lep.root
mc_363491.lllv.1lep.root,549170156,0.549170156,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_363491.lllv.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_363491.lllv.1lep.root,sm_mc,diboson,D:\cern_open_data\atlas_nframe_q99_analogue\mc_363491.lllv.1lep.root
mc_363492.llvv.1lep.root,900646798,0.900646798,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_363492.llvv.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_363492.llvv.1lep.root,sm_mc,diboson,D:\cern_open_data\atlas_nframe_q99_analogue\mc_363492.llvv.1lep.root
mc_410011.single_top_tchan.1lep.root,335536951,0.335536951,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_410011.single_top_tchan.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_410011.single_top_tchan.1lep.root,sm_mc,top,D:\cern_open_data\atlas_nframe_q99_analogue\mc_410011.single_top_tchan.1lep.root
mc_410013.single_top_wtchan.1lep.root,237946576,0.237946576,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_410013.single_top_wtchan.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_410013.single_top_wtchan.1lep.root,sm_mc,top,D:\cern_open_data\atlas_nframe_q99_analogue\mc_410013.single_top_wtchan.1lep.root
mc_410025.single_top_schan.1lep.root,64126921,0.064126921,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_410025.single_top_schan.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_410025.single_top_schan.1lep.root,sm_mc,top,D:\cern_open_data\atlas_nframe_q99_analogue\mc_410025.single_top_schan.1lep.root
