mode,sample_validation_id,region,relative_independent_shape_uncertainty,sideband_anchor_q90_95,upper_observed_total,upper_expected_total,obs_over_exp_upper,background_only_p,background_only_Z,fit_mu_trace,normalisation_scope
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.1,3220.0,3230.0,3221.674419827884,1.0025842400836273,0.48242499372384734,0.044068267022986156,0.0024815946834342833,exact_completed_only
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.2,3220.0,3230.0,3221.674419827884,1.0025842400836273,0.4903749074631276,0.02412887020867767,0.0025052164254790784,exact_completed_only
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.3,3220.0,3230.0,3221.674419827884,1.0025842400836273,0.49349808362463776,0.016298609003412068,0.0024910663260364705,exact_completed_only
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.4,3220.0,3230.0,3221.674419827884,1.0025842400836273,0.49514013161709697,0.012182184810324516,0.00251866391603491,exact_completed_only
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.5,3220.0,3230.0,3221.674419827884,1.0025842400836273,0.496157021006265,0.009633068787500101,0.002499677665596388,exact_completed_only
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.1,204.0,289.0,204.10608125617654,1.4159303741531928,0.00032369221258350884,3.410943762831306,0.41339708434381367,exact_completed_only
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.2,204.0,289.0,204.10608125617654,1.4159303741531928,0.003358836451169172,2.7105252722926605,0.4267819447139855,exact_completed_only
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.3,204.0,289.0,204.10608125617654,1.4159303741531928,0.013957695929728724,2.198473347159569,0.4428108515627349,exact_completed_only
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.4,204.0,289.0,204.10608125617654,1.4159303741531928,0.032409287752139075,1.8465073338122926,0.45772882522423586,exact_completed_only
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.5,204.0,289.0,204.10608125617654,1.4159303741531928,0.05528182759517517,1.5956647836043052,0.4705377025331361,exact_completed_only
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.1,1490.0,1500.0,1490.7748091750148,1.0061881853437613,0.46314056530890124,0.09252474658437038,0.005803515696114634,exact_completed_only
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.2,1490.0,1500.0,1490.7748091750148,1.0061881853437613,0.4786283990055611,0.05359630808048627,0.005696419580682454,exact_completed_only
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.3,1490.0,1500.0,1490.7748091750148,1.0061881853437613,0.48553827076686223,0.036258122294857094,0.005672822980129166,exact_completed_only
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.4,1490.0,1500.0,1490.7748091750148,1.0061881853437613,0.4891427418033842,0.027218470785854237,0.005662095451806938,exact_completed_only
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.5,1490.0,1500.0,1490.7748091750148,1.0061881853437613,0.4914105303346942,0.021532271277165664,0.005864603500638372,exact_completed_only
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,294.0,554.0,294.32710696247676,1.8822595231455472,6.623270691047275e-10,6.064377841660923,0.6948778769667822,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,294.0,554.0,294.32710696247676,1.8822595231455472,3.5125880738035474e-05,3.9754315056259264,0.616157146484219,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,294.0,554.0,294.32710696247676,1.8822595231455472,0.0012769247446943275,3.0168870535435666,0.6137381292479127,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,294.0,554.0,294.32710696247676,1.8822595231455472,0.006354109020962765,2.4918430472554163,0.6382052381941201,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,294.0,554.0,294.32710696247676,1.8822595231455472,0.01519357702423806,2.1650069367893687,0.6744940458596451,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,1240.0,1250.0,1241.3796348077249,1.0069441812565343,0.45673883394962744,0.10865306774187647,0.007069562412849628,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,1240.0,1250.0,1241.3796348077249,1.0069441812565343,0.47396147272687683,0.06531531917160117,0.007139651627624876,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.3,1240.0,1250.0,1241.3796348077249,1.0069441812565343,0.481967967776217,0.045215003330497515,0.0072655192895687785,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.4,1240.0,1250.0,1241.3796348077249,1.0069441812565343,0.48639133288035247,0.03411848801818178,0.007208887209830693,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.5,1240.0,1250.0,1241.3796348077249,1.0069441812565343,0.4891775915689038,0.027131083117646768,0.0071338549381907744,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.1,878.0,1147.0,878.9768704525666,1.3049262597881943,2.6688515453797147e-05,4.040325662242115,0.3067713869232587,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.2,878.0,1147.0,878.9768704525666,1.3049262597881943,0.00435758632821024,2.6230294981337496,0.32024776674911043,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.3,878.0,1147.0,878.9768704525666,1.3049262597881943,0.026480140313398907,1.9352446527067584,0.33377890590417547,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.4,878.0,1147.0,878.9768704525666,1.3049262597881943,0.06122431193972724,1.5445769552016975,0.34849964745356965,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.5,878.0,1147.0,878.9768704525666,1.3049262597881943,0.09772686033600314,1.294613129950256,0.3611276299038708,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.1,3220.0,3230.0,3223.5826000652214,1.0019907664021541,0.4825707656760634,0.043702518891173235,0.002462371015749608,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.2,3220.0,3230.0,3223.5826000652214,1.0019907664021541,0.49024291412083687,0.024459826107252138,0.0025264436932630387,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.3,3220.0,3230.0,3223.5826000652214,1.0019907664021541,0.49338068409247243,0.016592925789476406,0.002542183415055279,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.4,3220.0,3230.0,3223.5826000652214,1.0019907664021541,0.49504819284961593,0.012412658551156155,0.002588363284608441,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.5,3220.0,3230.0,3223.5826000652214,1.0019907664021541,0.4960856439341846,0.009811993031216411,0.002562123121984148,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2016G_remote_mht_aware_fresh,MET_trace,0.1,204.0,289.0,204.2269721780451,1.4150922227258493,0.0003292385823715788,3.4063085436052183,0.4126556277012904,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2016G_remote_mht_aware_fresh,MET_trace,0.2,204.0,289.0,204.2269721780451,1.4150922227258493,0.0033750458208660693,2.708928344395004,0.4263585283327209,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2016G_remote_mht_aware_fresh,MET_trace,0.3,204.0,289.0,204.2269721780451,1.4150922227258493,0.013953581401178175,2.1985889583095717,0.4425254133131952,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2016G_remote_mht_aware_fresh,MET_trace,0.4,204.0,289.0,204.2269721780451,1.4150922227258493,0.03233843773660147,1.84748503205045,0.45769322137827034,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2016G_remote_mht_aware_fresh,MET_trace,0.5,204.0,289.0,204.2269721780451,1.4150922227258493,0.05512740121878582,1.5970489224667201,0.470379475288207,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.1,1490.0,1500.0,1491.6577869867017,1.005592578328673,0.4637116071282677,0.09108731203915003,0.0057093832044315404,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.2,1490.0,1500.0,1491.6577869867017,1.005592578328673,0.4786388836754313,0.05356998915480388,0.00580228392485935,exact_plus_unit_weight_metadata
