mode,process_family,record_id,microband,sm_weight
exact_plus_approx_pending,TTTop,67722,q95_97,0.0220836531001422
exact_plus_approx_pending,TTTop,67722,q97_98,0.0147224354000948
exact_plus_approx_pending,TTTop,67722,q98_99,0.0151973526710656
exact_plus_approx_pending,TTTop,67722,q99_100,0.07574930471984259
exact_plus_approx_pending,TTTop,67726,q90_95,0.005704383690243
exact_plus_approx_pending,TTTop,67726,q95_97,0.0015211689840648
exact_plus_approx_pending,TTTop,67726,q97_98,0.0020916073530891
exact_plus_approx_pending,TTTop,67726,q98_99,0.0030423379681296
exact_plus_approx_pending,TTTop,67726,q99_100,0.0093171600273969
exact_plus_approx_pending,WJets,69548,q90_95,42.759111225412425
exact_plus_approx_pending,WJets,69548,q95_97,17.010531918123746
exact_plus_approx_pending,WJets,69548,q97_98,10.246776653018609
exact_plus_approx_pending,WJets,69548,q98_99,14.121944216444126
exact_plus_approx_pending,WJets,69548,q99_100,21.01790032208462
exact_plus_approx_pending,WJets,69746,q90_95,878.3716027189342
exact_plus_approx_pending,WJets,69746,q95_97,419.6457713255668
exact_plus_approx_pending,WJets,69746,q97_98,167.0652757096981
exact_plus_approx_pending,WJets,69746,q98_99,175.7528485583733
exact_plus_approx_pending,WJets,69746,q99_100,162.85022373550225
exact_plus_approx_pending,ZNuNu,74893,q90_95,14.96445318058914
exact_plus_approx_pending,ZNuNu,74893,q95_97,4.126001494236512
exact_plus_approx_pending,ZNuNu,74893,q97_98,2.463284474171052
exact_plus_approx_pending,ZNuNu,74893,q98_99,1.9706275793368415
exact_plus_approx_pending,ZNuNu,74893,q99_100,0.36949267112565776
exact_plus_approx_pending,ZNuNu,74895,q90_95,0.2085666254357338
exact_plus_approx_pending,ZNuNu,74895,q95_97,0.106050826492746
exact_plus_approx_pending,ZNuNu,74895,q97_98,0.053025413246373
exact_plus_approx_pending,ZNuNu,74895,q98_99,0.1025157989429878
exact_plus_approx_pending,ZNuNu,74895,q99_100,0.159076239739119
exact_plus_approx_pending,ZNuNu,74897,q90_95,5.10786993334121
exact_plus_approx_pending,ZNuNu,74897,q95_97,2.0887852992013882
exact_plus_approx_pending,ZNuNu,74897,q97_98,1.0882746937015637
exact_plus_approx_pending,ZNuNu,74897,q98_99,1.334014140666433
exact_plus_approx_pending,ZNuNu,74897,q99_100,0.87764088201739
exact_plus_approx_pending,ZNuNu,74899,q90_95,0.01972993621278098
exact_plus_approx_pending,ZNuNu,74899,q95_97,0.009074105684359185
exact_plus_approx_pending,ZNuNu,74899,q97_98,0.005494412616217488
exact_plus_approx_pending,ZNuNu,74899,q98_99,0.00740913216429328
exact_plus_approx_pending,ZNuNu,74899,q99_100,0.013736031540543722
exact_plus_approx_pending,ZNuNu,74901,q90_95,0.6560411230141105
exact_plus_approx_pending,ZNuNu,74901,q95_97,0.36122102319805277
exact_plus_approx_pending,ZNuNu,74901,q97_98,0.23904332417518198
exact_plus_approx_pending,ZNuNu,74901,q98_99,0.2868519890102184
exact_plus_approx_pending,ZNuNu,74901,q99_100,0.26560369352797997
exact_plus_approx_pending,ZNuNu,74903,q90_95,0.4361846125066352
exact_plus_approx_pending,ZNuNu,74903,q95_97,0.16986035390883392
exact_plus_approx_pending,ZNuNu,74903,q97_98,0.14469585703345111
exact_plus_approx_pending,ZNuNu,74903,q98_99,0.2348686375035728
exact_plus_approx_pending,ZNuNu,74903,q99_100,0.356497039067923
exact_plus_approx_pending,ZNuNu,74905,q90_95,0.5235291049723652
exact_plus_approx_pending,ZNuNu,74905,q95_97,0.1642990276243061
exact_plus_approx_pending,ZNuNu,74905,q97_98,0.2032852375690567
exact_plus_approx_pending,ZNuNu,74905,q98_99,0.2255630718231999
exact_plus_approx_pending,ZNuNu,74905,q99_100,0.5179596464088294
exact_plus_approx_pending,diboson,72753,q90_95,41.250386392405
exact_plus_approx_pending,diboson,72753,q95_97,19.702565506329083
exact_plus_approx_pending,diboson,72753,q97_98,10.595337341772135
exact_plus_approx_pending,diboson,72753,q98_99,12.678690189873397
exact_plus_approx_pending,diboson,72753,q99_100,27.7978794303797
exact_plus_approx_pending,diboson,75592,q90_95,106.58527193744568
exact_plus_approx_pending,diboson,75592,q95_97,50.54204830582101
exact_plus_approx_pending,diboson,75592,q97_98,32.14749331016507
exact_plus_approx_pending,diboson,75592,q98_99,40.91499148566463
exact_plus_approx_pending,diboson,75592,q99_100,94.89527437011293
