canonical_path,relative_to_project,bytes,extension,included_in_handoff,reason
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_full_file_by_file\real_only_full_cmssw_event_features_with_unsupervised_boundary.csv,data\processed\cmssw_real_only_full_file_by_file\real_only_full_cmssw_event_features_with_unsupervised_boundary.csv,1025947774,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_large\cms_jetht_run2016g_collision_event_features.csv,data\processed\cmssw_real_only_large\cms_jetht_run2016g_collision_event_features.csv,15984980,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_large\cms_met_run2016g_collision_event_features.csv,data\processed\cmssw_real_only_large\cms_met_run2016g_collision_event_features.csv,15720863,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_large\cms_singlemuon_run2016g_collision_event_features.csv,data\processed\cmssw_real_only_large\cms_singlemuon_run2016g_collision_event_features.csv,16537725,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_large\real_only_cmssw_event_features_combined.csv,data\processed\cmssw_real_only_large\real_only_cmssw_event_features_combined.csv,48242522,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_large\real_only_cmssw_event_features_scored.csv,data\processed\cmssw_real_only_large\real_only_cmssw_event_features_scored.csv,167270211,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_large\real_only_cmssw_event_features_with_unsupervised_boundary.csv,data\processed\cmssw_real_only_large\real_only_cmssw_event_features_with_unsupervised_boundary.csv,207725267,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_jetht_run2016g_collision_0002568B-EAD1-4949-B6FB-4E3C6B61FEFF_event_features.csv,data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_jetht_run2016g_collision_0002568B-EAD1-4949-B6FB-4E3C6B61FEFF_event_features.csv,2887897,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_jetht_run2016g_collision_35017A26-8C9D-204D-92B6-3ABFBBD4ADF3_event_features.csv,data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_jetht_run2016g_collision_35017A26-8C9D-204D-92B6-3ABFBBD4ADF3_event_features.csv,2864881,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_jetht_run2016g_collision_94C50CE8-43B0-AF4D-A8AE-BE0C7EC09B80_event_features.csv,data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_jetht_run2016g_collision_94C50CE8-43B0-AF4D-A8AE-BE0C7EC09B80_event_features.csv,1692739,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
