analysis,source_type,url,local_path,download_status,timestamp
ATLAS-SUSY-2017-03-eff,HEPData,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1806.02293,,skipped_no_direct_url,2026-06-04T02:08:19.483914+00:00
ATLAS-SUSY-2017-03-eff,paper_or_aux,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2017-03/,,"failed: HTTPSConnectionPool(host='atlas.web.cern.ch', port=443): Max retries exceeded with url: /Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2017-03/ (Caused by NewConnectionError(""HTTPSConnection(host='atlas.web.cern.ch', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:19.576914+00:00
ATLAS-SUSY-2018-04-eff,SModelS_metadata,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-04-eff/SRhigh/dataInfo.txt,,"failed: HTTPSConnectionPool(host='raw.githubusercontent.com', port=443): Max retries exceeded with url: /SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-04-eff/SRhigh/dataInfo.txt (Caused by NewConnectionError(""HTTPSConnection(host='raw.githubusercontent.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:19.687320+00:00
ATLAS-SUSY-2018-04-eff,HEPData,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1911.06660,,skipped_no_direct_url,2026-06-04T02:08:19.687320+00:00
ATLAS-SUSY-2018-04-eff,paper_or_aux,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-04/,,"failed: HTTPSConnectionPool(host='atlas.web.cern.ch', port=443): Max retries exceeded with url: /Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-04/ (Caused by NewConnectionError(""HTTPSConnection(host='atlas.web.cern.ch', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:19.780291+00:00
ATLAS-SUSY-2018-05-ewk-eff,SModelS_metadata,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-ewk-eff/SRHigh16_1_cuts/dataInfo.txt,,"failed: HTTPSConnectionPool(host='raw.githubusercontent.com', port=443): Max retries exceeded with url: /SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-ewk-eff/SRHigh16_1_cuts/dataInfo.txt (Caused by NewConnectionError(""HTTPSConnection(host='raw.githubusercontent.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:19.906039+00:00
ATLAS-SUSY-2018-05-ewk-eff,HEPData,https://www.hepdata.net/search/?q=https://arxiv.org/abs/2204.13072,,skipped_no_direct_url,2026-06-04T02:08:19.906039+00:00
ATLAS-SUSY-2018-05-ewk-eff,paper_or_aux,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-05/,,"failed: HTTPSConnectionPool(host='atlas.web.cern.ch', port=443): Max retries exceeded with url: /Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-05/ (Caused by NewConnectionError(""HTTPSConnection(host='atlas.web.cern.ch', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:20.000618+00:00
ATLAS-SUSY-2018-05-strong-eff,SModelS_metadata,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRC_Bin_1/dataInfo.txt,,"failed: HTTPSConnectionPool(host='raw.githubusercontent.com', port=443): Max retries exceeded with url: /SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRC_Bin_1/dataInfo.txt (Caused by NewConnectionError(""HTTPSConnection(host='raw.githubusercontent.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:20.108567+00:00
ATLAS-SUSY-2018-05-strong-eff,HEPData,https://www.hepdata.net/search/?q=https://arxiv.org/abs/2204.13072,,skipped_no_direct_url,2026-06-04T02:08:20.108567+00:00
ATLAS-SUSY-2018-05-strong-eff,paper_or_aux,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-05/,,"failed: HTTPSConnectionPool(host='atlas.web.cern.ch', port=443): Max retries exceeded with url: /Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-05/ (Caused by NewConnectionError(""HTTPSConnection(host='atlas.web.cern.ch', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:20.201282+00:00
ATLAS-SUSY-2018-06-eff,SModelS_metadata,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-06-eff/SR_ISR/dataInfo.txt,,"failed: HTTPSConnectionPool(host='raw.githubusercontent.com', port=443): Max retries exceeded with url: /SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-06-eff/SR_ISR/dataInfo.txt (Caused by NewConnectionError(""HTTPSConnection(host='raw.githubusercontent.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:20.326282+00:00
ATLAS-SUSY-2018-06-eff,HEPData,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1912.08479,,skipped_no_direct_url,2026-06-04T02:08:20.327251+00:00
ATLAS-SUSY-2018-06-eff,paper_or_aux,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-06/,,"failed: HTTPSConnectionPool(host='atlas.web.cern.ch', port=443): Max retries exceeded with url: /Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-06/ (Caused by NewConnectionError(""HTTPSConnection(host='atlas.web.cern.ch', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:20.403287+00:00
ATLAS-SUSY-2018-08-eff,SModelS_metadata,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-08-eff/SR4la/dataInfo.txt,,"failed: HTTPSConnectionPool(host='raw.githubusercontent.com', port=443): Max retries exceeded with url: /SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-08-eff/SR4la/dataInfo.txt (Caused by NewConnectionError(""HTTPSConnection(host='raw.githubusercontent.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:20.513277+00:00
ATLAS-SUSY-2018-08-eff,HEPData,https://www.hepdata.net/search/?q=https://arxiv.org/abs/2102.01444,,skipped_no_direct_url,2026-06-04T02:08:20.514255+00:00
ATLAS-SUSY-2018-08-eff,paper_or_aux,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-08/,,"failed: HTTPSConnectionPool(host='atlas.web.cern.ch', port=443): Max retries exceeded with url: /Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-08/ (Caused by NewConnectionError(""HTTPSConnection(host='atlas.web.cern.ch', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:20.606343+00:00
ATLAS-SUSY-2018-10-eff,SModelS_metadata,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-10-eff/2j0b_1/dataInfo.txt,,"failed: HTTPSConnectionPool(host='raw.githubusercontent.com', port=443): Max retries exceeded with url: /SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-10-eff/2j0b_1/dataInfo.txt (Caused by NewConnectionError(""HTTPSConnection(host='raw.githubusercontent.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:20.609343+00:00
ATLAS-SUSY-2018-10-eff,HEPData,https://www.hepdata.net/search/?q=https://arxiv.org/abs/2101.01629,,skipped_no_direct_url,2026-06-04T02:08:20.610342+00:00
ATLAS-SUSY-2018-10-eff,paper_or_aux,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-10/,,"failed: HTTPSConnectionPool(host='atlas.web.cern.ch', port=443): Max retries exceeded with url: /Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-10/ (Caused by NewConnectionError(""HTTPSConnection(host='atlas.web.cern.ch', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:20.715800+00:00
ATLAS-SUSY-2018-12-eff,SModelS_metadata,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-12-eff/SRAT0/dataInfo.txt,,"failed: HTTPSConnectionPool(host='raw.githubusercontent.com', port=443): Max retries exceeded with url: /SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-12-eff/SRAT0/dataInfo.txt (Caused by NewConnectionError(""HTTPSConnection(host='raw.githubusercontent.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:20.842833+00:00
ATLAS-SUSY-2018-12-eff,HEPData,https://www.hepdata.net/search/?q=https://arxiv.org/abs/2004.14060,,skipped_no_direct_url,2026-06-04T02:08:20.843804+00:00
ATLAS-SUSY-2018-12-eff,paper_or_aux,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-12/,,"failed: HTTPSConnectionPool(host='atlas.web.cern.ch', port=443): Max retries exceeded with url: /Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-12/ (Caused by NewConnectionError(""HTTPSConnection(host='atlas.web.cern.ch', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:20.921831+00:00
ATLAS-SUSY-2018-13-eff,SModelS_metadata,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-13-eff/SR_HighPT/dataInfo.txt,,"failed: HTTPSConnectionPool(host='raw.githubusercontent.com', port=443): Max retries exceeded with url: /SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-13-eff/SR_HighPT/dataInfo.txt (Caused by NewConnectionError(""HTTPSConnection(host='raw.githubusercontent.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:20.937801+00:00
ATLAS-SUSY-2018-13-eff,HEPData,https://www.hepdata.net/search/?q=https://arxiv.org/abs/2301.13866,,skipped_no_direct_url,2026-06-04T02:08:20.937801+00:00
ATLAS-SUSY-2018-13-eff,paper_or_aux,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-13/,,"failed: HTTPSConnectionPool(host='atlas.web.cern.ch', port=443): Max retries exceeded with url: /Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-13/ (Caused by NewConnectionError(""HTTPSConnection(host='atlas.web.cern.ch', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:21.030830+00:00
ATLAS-SUSY-2018-14-eff,SModelS_metadata,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-14-eff/SRee/dataInfo.txt,,"failed: HTTPSConnectionPool(host='raw.githubusercontent.com', port=443): Max retries exceeded with url: /SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-14-eff/SRee/dataInfo.txt (Caused by NewConnectionError(""HTTPSConnection(host='raw.githubusercontent.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:21.109809+00:00
