event_id,source_file,source_entry,extraction_mode,full_boundary_features_available,jet_only_features_available,MET_pt,MET_phi,N_jets,N_jets_30,N_jets_50,HT,leading_jet_pt,subleading_jet_pt,leading_jet_eta,jet_mass_sum_30,N_leptons,N_muons,N_electrons,N_btags_loose,N_btags_medium,N_btags_tight,N_b_hadron_flavour_proxy,N_PF_candidates,event_weight,missing_MET,missing_leptons,missing_btags
177,0438B51F-9A50-8642-9963-CDB942DD12D9.root,177,uproot_edm_partial_jets,0,1,,,2,2,2,318.8904571533203,183.03656005859375,135.85389709472656,-1.6000542640686035,40.44710159301758,,,,,,,0,,1.0,1,1,1
178,0438B51F-9A50-8642-9963-CDB942DD12D9.root,178,uproot_edm_partial_jets,0,1,,,2,2,2,200.99279022216797,145.8232879638672,55.16950225830078,-1.6647142171859741,40.00236988067627,,,,,,,0,,1.0,1,1,1
179,0438B51F-9A50-8642-9963-CDB942DD12D9.root,179,uproot_edm_partial_jets,0,1,,,2,2,2,195.04132461547852,131.19284057617188,63.84848403930664,-1.6862208843231201,37.42820739746094,,,,,,,0,,1.0,1,1,1
180,0438B51F-9A50-8642-9963-CDB942DD12D9.root,180,uproot_edm_partial_jets,0,1,,,2,2,2,386.5349884033203,285.5020446777344,101.03294372558594,1.1710999011993408,49.97295093536377,,,,,,,0,,1.0,1,1,1
181,0438B51F-9A50-8642-9963-CDB942DD12D9.root,181,uproot_edm_partial_jets,0,1,,,2,2,2,290.21092224121094,192.0750274658203,98.13589477539062,-1.6721196174621582,50.49801445007324,,,,,,,0,,1.0,1,1,1
182,0438B51F-9A50-8642-9963-CDB942DD12D9.root,182,uproot_edm_partial_jets,0,1,,,2,2,2,237.62125396728516,154.11216735839844,83.50908660888672,-1.7143807411193848,47.14868450164795,,,,,,,0,,1.0,1,1,1
183,0438B51F-9A50-8642-9963-CDB942DD12D9.root,183,uproot_edm_partial_jets,0,1,,,2,2,1,180.09849166870117,134.17530822753906,45.92318344116211,-1.6693023443222046,34.41166353225708,,,,,,,0,,1.0,1,1,1
184,0438B51F-9A50-8642-9963-CDB942DD12D9.root,184,uproot_edm_partial_jets,0,1,,,1,1,1,131.96157836914062,131.96157836914062,19.701852798461914,0.7779210209846497,22.083555221557617,,,,,,,0,,1.0,1,1,1
185,0438B51F-9A50-8642-9963-CDB942DD12D9.root,185,uproot_edm_partial_jets,0,1,,,2,2,2,205.67148208618164,143.9044189453125,61.76706314086914,-1.6757959127426147,40.479132652282715,,,,,,,0,,1.0,1,1,1
186,0438B51F-9A50-8642-9963-CDB942DD12D9.root,186,uproot_edm_partial_jets,0,1,,,4,4,3,591.6713256835938,293.5993347167969,177.296630859375,0.563767671585083,88.55382633209229,,,,,,,0,,1.0,1,1,1
187,0438B51F-9A50-8642-9963-CDB942DD12D9.root,187,uproot_edm_partial_jets,0,1,,,1,1,0,32.39668655395508,34.087650299072266,32.39668655395508,3.04403018951416,9.879283905029297,,,,,,,0,,1.0,1,1,1
188,0438B51F-9A50-8642-9963-CDB942DD12D9.root,188,uproot_edm_partial_jets,0,1,,,2,2,1,159.75555038452148,115.0907211303711,64.1435317993164,1.677889108657837,23.152570247650146,,,,,,,0,,1.0,1,1,1
189,0438B51F-9A50-8642-9963-CDB942DD12D9.root,189,uproot_edm_partial_jets,0,1,,,0,0,0,0.0,28.173301696777344,23.598957061767578,-4.080123424530029,0.0,,,,,,,0,,1.0,1,1,1
190,0438B51F-9A50-8642-9963-CDB942DD12D9.root,190,uproot_edm_partial_jets,0,1,,,2,2,2,500.55799865722656,319.4502258300781,181.10777282714844,0.08627264201641083,57.163373947143555,,,,,,,0,,1.0,1,1,1
191,0438B51F-9A50-8642-9963-CDB942DD12D9.root,191,uproot_edm_partial_jets,0,1,,,2,2,2,221.46619415283203,126.09144592285156,95.37474822998047,-1.666356086730957,40.30477714538574,,,,,,,0,,1.0,1,1,1
192,0438B51F-9A50-8642-9963-CDB942DD12D9.root,192,uproot_edm_partial_jets,0,1,,,3,3,3,298.9006042480469,158.67800903320312,74.68743133544922,-1.6980407238006592,56.10636901855469,,,,,,,0,,1.0,1,1,1
193,0438B51F-9A50-8642-9963-CDB942DD12D9.root,193,uproot_edm_partial_jets,0,1,,,3,3,2,299.90200996398926,190.5785675048828,78.54792785644531,1.3330941200256348,53.34649085998535,,,,,,,0,,1.0,1,1,1
194,0438B51F-9A50-8642-9963-CDB942DD12D9.root,194,uproot_edm_partial_jets,0,1,,,4,4,2,481.5273017883301,289.39068603515625,115.70905303955078,-1.5904731750488281,48.81602931022644,,,,,,,0,,1.0,1,1,1
195,0438B51F-9A50-8642-9963-CDB942DD12D9.root,195,uproot_edm_partial_jets,0,1,,,1,1,1,151.50750732421875,151.50750732421875,27.926454544067383,-1.7128015756607056,48.902034759521484,,,,,,,0,,1.0,1,1,1
196,0438B51F-9A50-8642-9963-CDB942DD12D9.root,196,uproot_edm_partial_jets,0,1,,,2,2,1,202.7385597229004,158.18572998046875,44.55282974243164,0.35157501697540283,24.63554573059082,,,,,,,0,,1.0,1,1,1
197,0438B51F-9A50-8642-9963-CDB942DD12D9.root,197,uproot_edm_partial_jets,0,1,,,2,2,2,128.9600830078125,141.84747314453125,74.0725326538086,-2.4179415702819824,19.67188549041748,,,,,,,0,,1.0,1,1,1
198,0438B51F-9A50-8642-9963-CDB942DD12D9.root,198,uproot_edm_partial_jets,0,1,,,2,2,1,163.19714736938477,127.21385955810547,35.9832878112793,-1.7029534578323364,32.34106492996216,,,,,,,0,,1.0,1,1,1
199,0438B51F-9A50-8642-9963-CDB942DD12D9.root,199,uproot_edm_partial_jets,0,1,,,2,2,2,222.38330078125,154.0791473388672,68.30415344238281,-1.670143723487854,45.607890129089355,,,,,,,0,,1.0,1,1,1
200,0438B51F-9A50-8642-9963-CDB942DD12D9.root,200,uproot_edm_partial_jets,0,1,,,2,2,2,226.0680923461914,167.8345489501953,58.233543395996094,-1.7091251611709595,46.41888904571533,,,,,,,0,,1.0,1,1,1
201,0438B51F-9A50-8642-9963-CDB942DD12D9.root,201,uproot_edm_partial_jets,0,1,,,2,2,1,159.84887313842773,124.00093078613281,35.84794235229492,-1.6670079231262207,31.853283882141113,,,,,,,0,,1.0,1,1,1
202,0438B51F-9A50-8642-9963-CDB942DD12D9.root,202,uproot_edm_partial_jets,0,1,,,3,3,2,247.22100067138672,146.51461791992188,59.597293853759766,-1.7022178173065186,52.14324378967285,,,,,,,0,,1.0,1,1,1
203,0438B51F-9A50-8642-9963-CDB942DD12D9.root,203,uproot_edm_partial_jets,0,1,,,2,2,2,266.29232025146484,163.0202178955078,103.27210235595703,-1.6852561235427856,52.40972709655762,,,,,,,0,,1.0,1,1,1
204,0438B51F-9A50-8642-9963-CDB942DD12D9.root,204,uproot_edm_partial_jets,0,1,,,2,2,2,178.5838165283203,128.35211181640625,50.23170471191406,-1.6846420764923096,33.965107917785645,,,,,,,0,,1.0,1,1,1
205,0438B51F-9A50-8642-9963-CDB942DD12D9.root,205,uproot_edm_partial_jets,0,1,,,2,2,2,200.92317962646484,149.36923217773438,51.55394744873047,-1.7043671607971191,39.69831371307373,,,,,,,0,,1.0,1,1,1
206,0438B51F-9A50-8642-9963-CDB942DD12D9.root,206,uproot_edm_partial_jets,0,1,,,2,2,2,167.08709716796875,105.93763732910156,61.14945983886719,0.46845364570617676,28.82472038269043,,,,,,,0,,1.0,1,1,1
207,0438B51F-9A50-8642-9963-CDB942DD12D9.root,207,uproot_edm_partial_jets,0,1,,,2,2,2,220.6537857055664,150.03753662109375,70.61624908447266,-1.6771827936172485,43.789432525634766,,,,,,,0,,1.0,1,1,1
208,0438B51F-9A50-8642-9963-CDB942DD12D9.root,208,uproot_edm_partial_jets,0,1,,,4,4,4,482.9435005187988,188.3723907470703,129.1260986328125,0.5335666537284851,63.71256065368652,,,,,,,0,,1.0,1,1,1
209,0438B51F-9A50-8642-9963-CDB942DD12D9.root,209,uproot_edm_partial_jets,0,1,,,2,2,1,208.01976013183594,165.53933715820312,42.48042297363281,-1.7277599573135376,58.298444747924805,,,,,,,0,,1.0,1,1,1
210,0438B51F-9A50-8642-9963-CDB942DD12D9.root,210,uproot_edm_partial_jets,0,1,,,2,2,2,226.06815338134766,147.55938720703125,78.5087661743164,-1.6901519298553467,44.300002098083496,,,,,,,0,,1.0,1,1,1
211,0438B51F-9A50-8642-9963-CDB942DD12D9.root,211,uproot_edm_partial_jets,0,1,,,2,2,1,242.5444679260254,199.3391571044922,43.2053108215332,1.751373052597046,26.0258526802063,,,,,,,0,,1.0,1,1,1
212,0438B51F-9A50-8642-9963-CDB942DD12D9.root,212,uproot_edm_partial_jets,0,1,,,4,4,1,355.1654586791992,215.05404663085938,49.7829704284668,0.23370526731014252,44.92319869995117,,,,,,,0,,1.0,1,1,1
213,0438B51F-9A50-8642-9963-CDB942DD12D9.root,213,uproot_edm_partial_jets,0,1,,,2,2,2,182.9883041381836,132.37026977539062,50.61803436279297,-1.682294249534607,33.54074668884277,,,,,,,0,,1.0,1,1,1
214,0438B51F-9A50-8642-9963-CDB942DD12D9.root,214,uproot_edm_partial_jets,0,1,,,0,0,0,0.0,25.749725341796875,19.485004425048828,4.305698394775391,0.0,,,,,,,0,,1.0,1,1,1
215,0438B51F-9A50-8642-9963-CDB942DD12D9.root,215,uproot_edm_partial_jets,0,1,,,1,1,1,150.89146423339844,150.89146423339844,25.500608444213867,2.0235860347747803,23.725046157836914,,,,,,,0,,1.0,1,1,1
216,0438B51F-9A50-8642-9963-CDB942DD12D9.root,216,uproot_edm_partial_jets,0,1,,,2,2,2,338.5352478027344,221.8621826171875,177.75558471679688,-2.813030242919922,67.58971977233887,,,,,,,0,,1.0,1,1,1
217,0438B51F-9A50-8642-9963-CDB942DD12D9.root,217,uproot_edm_partial_jets,0,1,,,7,7,4,691.409595489502,210.4274139404297,207.00465393066406,-0.9402448534965515,92.85905981063843,,,,,,,0,,1.0,1,1,1
