variant,jet_bin,met_bin,score_band,observed,met_bin_n,sm_fraction,expected_official_shape,midpoint,shape_correction,expected_shape
lepton_aware_resid,1to2jets,6,q050_080,48079,95195,0.1896116234567704,18050.07849496726,0.65,1.8427232291993452,33261.298931547724
lepton_aware_resid,1to2jets,6,q080_090,12818,95195,0.022193060906050634,2112.66843295149,0.85,5.117837163392548,10812.293020085433
lepton_aware_resid,1to2jets,6,q090_095,3417,95195,0.0059489606798144795,566.3113119149393,0.925,7.506653090586592,4251.102559820427
lepton_aware_resid,1to2jets,6,q095_0975,147,95195,0.0018518664463146788,176.28842635692584,0.9625,9.09130624066695,1602.6920706960761
lepton_aware_resid,1to2jets,6,q0975_099,4,95195,0.0007046800052344956,67.08201309829781,0.9825,10.069059855535704,675.4528051165908
lepton_aware_resid,1to2jets,6,q099_100,2,95195,9.134027717546296e-05,8.695137685718198,0.995,10.732862598808094,93.32371805853161
lepton_aware_resid,1to2jets,7,q000_050,24118,47045,0.7442867375017139,35014.96956576813,0.25,0.23889518935067772,8364.907784522395
lepton_aware_resid,1to2jets,7,q050_080,18169,47045,0.21944508235156443,10323.79389922935,0.65,1.8427232291993452,19023.894831576406
lepton_aware_resid,1to2jets,7,q080_090,3586,47045,0.025971825984745747,1221.8445534523637,0.85,5.117837163392548,6253.20146354728
lepton_aware_resid,1to2jets,7,q090_095,968,47045,0.00688522567622245,323.91544193788513,0.925,7.506653090586592,2431.520853311747
lepton_aware_resid,1to2jets,7,q095_0975,194,47045,0.002581419924453803,121.44290034592917,0.9625,9.09130624066695,1104.0745977996405
lepton_aware_resid,1to2jets,7,q0975_099,9,47045,0.0007538259370066419,35.46374120647747,0.9825,10.069059855535704,357.0865329092496
lepton_aware_resid,1to2jets,7,q099_100,1,47045,7.58826242930354e-05,3.5698980598658503,0.995,10.732862598808094,38.31522536829176
lepton_aware_resid,1to2jets,8,q000_050,12210,17472,0.6595045580983705,11522.863639094729,0.25,0.23889518935067772,2752.7566909235743
lepton_aware_resid,1to2jets,8,q050_080,4256,17472,0.25695320579139125,4489.486411587188,0.65,1.8427232291993452,8272.880897806523
lepton_aware_resid,1to2jets,8,q080_090,622,17472,0.07030782525797011,1228.4183229072537,0.85,5.117837163392548,6286.84494516709
lepton_aware_resid,1to2jets,8,q090_095,233,17472,0.008576387280205116,149.84663855974378,0.925,7.506653090586592,1124.8467324585126
lepton_aware_resid,1to2jets,8,q095_0975,109,17472,0.003406616011132736,59.52039494651117,0.9625,9.09130624066695,541.1181380241786
lepton_aware_resid,1to2jets,8,q0975_099,42,17472,0.0011911471979274,20.811723842187533,0.9825,10.069059855535704,209.55449306386575
lepton_aware_resid,1to2jets,8,q099_100,0,17472,6.0260363002993586e-05,1.052869062388304,0.995,10.732862598808094,11.300298981149572
lepton_aware_resid,1to2jets,9,q000_050,3301,4665,0.6011272726797066,2804.258727050831,0.25,0.23889518935067772,669.9239195870988
lepton_aware_resid,1to2jets,9,q050_080,937,4665,0.2714943609012526,1266.5211936043434,0.65,1.8427232291993452,2333.8480237280046
lepton_aware_resid,1to2jets,9,q080_090,238,4665,0.07566994033892047,353.00027168106396,0.85,5.117837163392548,1806.5979090970152
lepton_aware_resid,1to2jets,9,q090_095,103,4665,0.032191160635578135,150.171764364972,0.925,7.506653090586592,1127.2873390891584
lepton_aware_resid,1to2jets,9,q095_0975,39,4665,0.011917224081902851,55.5938503420768,0.9625,9.09130624066695,505.4207185576273
lepton_aware_resid,1to2jets,9,q0975_099,29,4665,0.005371681230960753,25.05889294243191,0.9825,10.069059855535704,252.31949295080813
lepton_aware_resid,1to2jets,9,q099_100,18,4665,0.002228360131678604,10.39530001428069,0.995,10.732862598808094,111.57132672666245
lepton_aware_resid,3to4jets,0,q000_050,13537,32096,0.45253799627544916,14524.659528456816,0.25,0.2916579311079142,4236.232148116567
lepton_aware_resid,3to4jets,0,q050_080,8094,32096,0.2934147753854667,9417.440630771938,0.65,0.9286471359989834,8745.47927020682
lepton_aware_resid,3to4jets,0,q080_090,4123,32096,0.1339016781700038,4297.708262544443,0.85,1.6570636483615246,7121.576133125363
lepton_aware_resid,3to4jets,0,q090_095,3358,32096,0.07391097196335158,2372.2465561357326,0.925,2.0589574186401576,4884.354645599232
lepton_aware_resid,3to4jets,0,q095_0975,2115,32096,0.03296041833155351,1057.8975867695415,0.9625,2.295099152053522,2427.979854354242
lepton_aware_resid,3to4jets,0,q0975_099,798,32096,0.011917657310854209,382.5091290491767,0.9825,2.4319256825615923,930.2337747489591
lepton_aware_resid,3to4jets,0,q099_100,71,32096,0.0013565025633211468,43.53830627235553,0.995,2.521554320162035,109.78420427359592
lepton_aware_resid,3to4jets,1,q000_050,5595,25674,0.37518308740053596,9632.45058592136,0.25,0.2916579311079142,2809.3806093890403
lepton_aware_resid,3to4jets,1,q050_080,9362,25674,0.37796865185055634,9703.967167611183,0.65,0.9286471359989834,9011.561318030292
lepton_aware_resid,3to4jets,1,q080_090,5384,25674,0.14896274300023746,3824.4694637880966,0.85,1.6570636483615246,6337.389322711947
lepton_aware_resid,3to4jets,1,q090_095,3471,25674,0.06828479183447785,1753.1437455583841,0.925,2.0589574186401576,3609.648320860028
lepton_aware_resid,3to4jets,1,q095_0975,1507,25674,0.023682667893176343,608.0288154894095,0.9625,2.295099152053522,1395.486418853851
