comparison,bootstrap_delta_auc
standard_plus_trace_axis_vs_standard_CMS_like,0.0003750078653812494
standard_plus_trace_axis_vs_standard_CMS_like,0.0004423832008143558
standard_plus_trace_axis_vs_standard_CMS_like,0.00024048650133134952
standard_plus_trace_axis_vs_standard_CMS_like,0.00029382822168133593
standard_plus_trace_axis_vs_standard_CMS_like,0.00041138910290894337
standard_plus_trace_axis_vs_standard_CMS_like,0.00043823009109522637
standard_plus_trace_axis_vs_standard_CMS_like,0.0005401941884800587
standard_plus_trace_axis_vs_standard_CMS_like,0.0002122560604912449
standard_plus_trace_axis_vs_standard_CMS_like,0.00039705317483385016
standard_plus_trace_axis_vs_standard_CMS_like,0.0001032224677325333
standard_plus_trace_axis_vs_standard_CMS_like,0.0005695828570070338
standard_plus_trace_axis_vs_standard_CMS_like,0.0004527813013415205
standard_plus_trace_axis_vs_standard_CMS_like,0.0005627542151583897
standard_plus_trace_axis_vs_standard_CMS_like,0.0005709076833722015
standard_plus_trace_axis_vs_standard_CMS_like,0.000663051844287943
standard_plus_trace_axis_vs_standard_CMS_like,0.00035085140203039433
standard_plus_trace_axis_vs_standard_CMS_like,0.0003153637164826639
standard_plus_trace_axis_vs_standard_CMS_like,0.0005102971191629502
standard_plus_trace_axis_vs_standard_CMS_like,0.00038010943703714606
standard_plus_trace_axis_vs_standard_CMS_like,0.0004567163609749958
standard_plus_trace_axis_vs_standard_CMS_like,0.00047277499895315156
standard_plus_trace_axis_vs_standard_CMS_like,0.00031611225899852435
standard_plus_trace_axis_vs_standard_CMS_like,0.0006443006990189959
standard_plus_trace_axis_vs_standard_CMS_like,0.0007104009166898351
standard_plus_trace_axis_vs_standard_CMS_like,0.0004943851696465051
standard_plus_trace_axis_vs_standard_CMS_like,0.000591052551919824
standard_plus_trace_axis_vs_standard_CMS_like,0.00041025746841760746
standard_plus_trace_axis_vs_standard_CMS_like,0.0004770302181789088
standard_plus_trace_axis_vs_standard_CMS_like,0.0006539877460929322
standard_plus_trace_axis_vs_standard_CMS_like,0.00042104126521280705
standard_plus_trace_axis_vs_standard_CMS_like,0.0004325980907834426
standard_plus_trace_axis_vs_standard_CMS_like,0.00047406290399665263
standard_plus_trace_axis_vs_standard_CMS_like,0.000597747836147966
standard_plus_trace_axis_vs_standard_CMS_like,0.00042714489654760435
standard_plus_trace_axis_vs_standard_CMS_like,0.00026652133426130487
standard_plus_trace_axis_vs_standard_CMS_like,0.0005769930958008374
standard_plus_trace_axis_vs_standard_CMS_like,0.0006167283684123115
standard_plus_trace_axis_vs_standard_CMS_like,0.0005036017717958696
standard_plus_trace_axis_vs_standard_CMS_like,0.00036266707345855576
standard_plus_trace_axis_vs_standard_CMS_like,0.0002070892678336378
standard_plus_trace_axis_vs_standard_CMS_like,0.000479939633151405
standard_plus_trace_axis_vs_standard_CMS_like,0.0005672291957967701
standard_plus_trace_axis_vs_standard_CMS_like,0.00043150622355103696
standard_plus_trace_axis_vs_standard_CMS_like,0.0003902943259174174
standard_plus_trace_axis_vs_standard_CMS_like,0.0006052684141444331
standard_plus_trace_axis_vs_standard_CMS_like,0.0002178169758479953
standard_plus_trace_axis_vs_standard_CMS_like,0.00020544659472165883
standard_plus_trace_axis_vs_standard_CMS_like,0.0006211445260012605
standard_plus_trace_axis_vs_standard_CMS_like,0.0002814552778646062
standard_plus_trace_axis_vs_standard_CMS_like,0.0003210185817291711
standard_plus_trace_axis_vs_standard_CMS_like,0.0004616932880662228
standard_plus_trace_axis_vs_standard_CMS_like,0.000531376143923401
