event_id,source_file,source_entry,extraction_mode,full_boundary_features_available,jet_only_features_available,MET_pt,MET_phi,N_jets,N_jets_30,N_jets_50,HT,leading_jet_pt,subleading_jet_pt,leading_jet_eta,jet_mass_sum_30,N_leptons,N_muons,N_electrons,N_btags_loose,N_btags_medium,N_btags_tight,N_b_hadron_flavour_proxy,N_PF_candidates,event_weight,missing_MET,missing_leptons,missing_btags,MET_fraction,N_objects,Visible_HT,Nb_missing,S_event_proxy,high_MET,high_multiplicity,R_reconstruction,B_event_jetonly,B_event_jetonly_z,B_event,B_event_z,B_event_status,N_PF_muon_proxy,N_PF_electron_proxy,N_PF_photon_proxy,N_PF_charged_hadron_proxy,N_PF_neutral_hadron_proxy,N_isolated_charged_hadron,packed_pt_word_sum,N_primary_vertices,N_good_primary_vertices,leading_pv_ndof,pv_abs_z_max,S_reco_proxy,B_event_reco,B_event_reco_z,enhanced_reco_proxy_available
92003,9C668317-D15E-6349-802E-07E191108980.root,11424,uproot_edm_partial_jets,0,1,,,41,41,41,74662.95640563965,4379.06982421875,4246.29736328125,-1.7244383096694946,18266.20747089386,,,,,,,0,3063,1.0,1,1,1,,41.0,74662.95640563965,1,3.7376696182833684,0,1,26.527152476324574,98.67030652908255,28.24812580511432,69.93476547057017,27.230086496611484,partial_jet_level_real_miniaod,4,4,1581,610,131,1,53803380,16,16,105.92040252685547,5.454964637756348,4.4956900853692705,98.63764438176187,21.98884463806367,1
74881,4BF81994-E99D-2D45-8C35-E5B7BDC8BB89.root,28568,uproot_edm_partial_jets,0,1,,,40,40,38,74519.7869682312,4415.9072265625,4261.11767578125,-1.7561750411987305,18184.789743423462,,,,,,,0,3381,1.0,1,1,1,,40.0,74519.7869682312,1,3.713572066704308,0,1,25.86466650861099,95.65703874368468,27.38546336409587,69.12990709523889,26.916703545652485,partial_jet_level_real_miniaod,4,2,1635,827,158,0,58722779,27,24,75.46359252929688,9.537471771240234,4.593198814206872,98.61461057268536,21.98370981502141,1
125992,ED10716D-8AF9-DA43-A815-110D277A790B.root,5768,uproot_edm_partial_jets,0,1,,,41,41,39,74568.07146453857,4600.169921875,4369.78271484375,-1.7474334239959717,18298.573348760605,,,,,,,0,3053,1.0,1,1,1,,41.0,74568.07146453857,1,3.7376696182833684,0,1,26.527152476324574,97.15099263390644,27.813164451915895,69.88772451543846,27.211770437802958,partial_jet_level_real_miniaod,1,3,1560,633,128,3,53631990,18,17,143.4185333251953,7.096156597137451,4.527532916260939,98.5388719429072,21.966825744302465,1
108989,A070E244-088C-F241-BAF7-17B1707FD096.root,11337,uproot_edm_partial_jets,0,1,,,40,40,39,75234.82022857666,4615.46875,4302.4404296875,1.7100961208343506,18358.418509721756,,,,,,,0,3196,1.0,1,1,1,,40.0,75234.82022857666,1,3.713572066704308,0,1,25.86466650861099,96.74766610685876,27.697696902686943,69.48439798839078,27.05472957058924,partial_jet_level_real_miniaod,1,6,1561,705,173,0,55770628,28,22,62.15980529785156,8.81934928894043,4.553455750301413,98.3314186309573,21.92057911427891,1
114589,A070E244-088C-F241-BAF7-17B1707FD096.root,16937,uproot_edm_partial_jets,0,1,,,40,40,39,75271.7367553711,4422.708984375,4337.33056640625,-1.7606910467147827,18481.45252740383,,,,,,,0,3046,1.0,1,1,1,,40.0,75271.7367553711,1,3.713572066704308,0,1,25.86466650861099,96.76596815416367,27.702936559407863,69.5027000356957,27.06185573063031,partial_jet_level_real_miniaod,2,9,1555,605,146,1,53450467,24,22,11.865612983703613,6.762315273284912,4.548176464467971,98.25725103758751,21.90404526761206,1
120222,A070E244-088C-F241-BAF7-17B1707FD096.root,22570,uproot_edm_partial_jets,0,1,,,38,38,38,74918.59846496582,4535.64697265625,4489.43896484375,-1.749211311340332,18483.624822616577,,,,,,,0,3328,1.0,1,1,1,,38.0,74918.59846496582,1,3.6635616461296463,0,1,24.539694573183827,94.38161967530873,27.02032617576549,67.85448802686294,26.42010115744658,partial_jet_level_real_miniaod,0,8,1581,806,164,1,57903709,28,25,40.230560302734375,9.17896842956543,4.587820547652979,97.98547995447619,21.84346056730713,1
40589,154D5639-79E6-914A-B36C-2EE986A9A5E0.root,16820,uproot_edm_partial_jets,0,1,,,40,40,39,74332.48137664795,4383.794921875,4317.58203125,-1.7405462265014648,18109.236770153046,,,,,,,0,3063,1.0,1,1,1,,40.0,74332.48137664795,1,3.713572066704308,0,1,25.86466650861099,96.30031502085289,27.56962565003685,69.03704690238492,26.880547120925932,partial_jet_level_real_miniaod,1,4,1584,579,155,2,53897670,22,20,27.838088989257812,7.539752960205078,4.539350844950798,97.93980477386,21.833278405550534,1
52074,4BF81994-E99D-2D45-8C35-E5B7BDC8BB89.root,5761,uproot_edm_partial_jets,0,1,,,41,41,39,74743.93648910522,4356.30810546875,4340.70556640625,-1.7382715940475464,18060.734642267227,,,,,,,0,3036,1.0,1,1,1,,41.0,74743.93648910522,1,3.7376696182833684,0,1,26.527152476324574,97.23818095519192,27.838125423002808,69.97491283672395,27.245718439403063,partial_jet_level_real_miniaod,0,3,1555,543,189,0,53332360,24,21,51.11714172363281,7.582787036895752,4.5364629879783,97.81023994661315,21.804395103696102,1
35202,154D5639-79E6-914A-B36C-2EE986A9A5E0.root,11433,uproot_edm_partial_jets,0,1,,,36,36,35,75633.2635383606,4445.54052734375,4379.32861328125,-1.7321547269821167,18695.633804678917,,,,,,,0,3335,1.0,1,1,1,,36.0,75633.2635383606,1,3.6109179126442243,0,1,23.21472263775666,91.04657973382402,26.065544224172246,66.72785749544482,25.981431682918227,partial_jet_level_real_miniaod,0,11,1544,836,178,4,57845764,31,30,29.958038330078125,7.528273105621338,4.647750633523209,97.80653329069231,21.80356879563004,1
131705,ED10716D-8AF9-DA43-A815-110D277A790B.root,11481,uproot_edm_partial_jets,0,1,,,41,41,40,75340.76145172119,4448.4091796875,4226.74072265625,-1.723865270614624,18144.439494609833,,,,,,,0,2772,1.0,1,1,1,,41.0,75340.76145172119,1,3.7376696182833684,0,1,26.527152476324574,98.27020438011027,28.13358135667142,70.27079979162009,27.360926195099786,partial_jet_level_real_miniaod,1,1,1531,407,132,2,49180887,18,17,89.78368377685547,8.13652515411377,4.485485343042112,97.75650495271138,21.792416204159935,1
