event_id,source_file,source_entry,extraction_mode,full_boundary_features_available,jet_only_features_available,MET_pt,MET_phi,N_jets,N_jets_30,N_jets_50,HT,leading_jet_pt,subleading_jet_pt,leading_jet_eta,jet_mass_sum_30,N_leptons,N_muons,N_electrons,N_btags_loose,N_btags_medium,N_btags_tight,N_b_hadron_flavour_proxy,N_PF_candidates,event_weight,missing_MET,missing_leptons,missing_btags,MET_fraction,N_objects,Visible_HT,Nb_missing,S_event_proxy,high_MET,high_multiplicity,R_reconstruction,B_event_jetonly,B_event_jetonly_z,B_event,B_event_z,B_event_status,isolation_score,lof_score,robust_mahalanobis,boundary_outlier_score
94670,9C668317-D15E-6349-802E-07E191108980.root,14091,uproot_edm_partial_jets,0,1,,,3,3,3,1561.6306610107422,809.3035278320312,533.7255249023438,0.8679136633872986,120.82550621032715,,,,,,,0,,1.0,1,1,1,,3.0,1561.6306610107422,1,1.3862943611198906,0,0,0.35268570320841036,2.3149357366687235,0.6627383477409085,1.5525805389999552,0.6045191127110505,partial_jet_level_real_miniaod,0.6563825313217602,-1,976.4017506105176,2.8353782610016096
2736,0438B51F-9A50-8642-9963-CDB942DD12D9.root,2736,uproot_edm_partial_jets,0,1,,,3,3,3,1579.7698135375977,916.9763793945312,587.7371826171875,0.11888853460550308,143.5953197479248,,,,,,,0,,1.0,1,1,1,,3.0,1579.7698135375977,1,1.3862943611198906,0,0,0.35268570320841036,2.323928555236571,0.6653128838823589,1.561573357567803,0.6080205933523759,partial_jet_level_real_miniaod,0.6563825313217602,-1,767.0685699920216,2.835302335469372
13545,0438B51F-9A50-8642-9963-CDB942DD12D9.root,13545,uproot_edm_partial_jets,0,1,,,3,3,3,1610.2608795166016,1012.9246215820312,486.30926513671875,0.03299294784665108,93.37539291381836,,,,,,,0,,1.0,1,1,1,,3.0,1610.2608795166016,1,1.3862943611198906,0,0,0.35268570320841036,2.339045062134206,0.6696405585759853,1.5766898644654375,0.613906418343416,partial_jet_level_real_miniaod,0.6563825313217602,-1,693.0664851473066,2.835249187596805
106662,A070E244-088C-F241-BAF7-17B1707FD096.root,9010,uproot_edm_partial_jets,0,1,,,3,3,3,1529.5993118286133,1165.205322265625,293.6716613769531,0.5960403680801392,120.81415367126465,,,,,,,0,,1.0,1,1,1,,3.0,1529.5993118286133,1,1.3862943611198906,0,0,0.35268570320841036,2.2990556060368323,0.6581920567272174,1.536700408368064,0.5983359600576559,partial_jet_level_real_miniaod,0.656478934775007,-1,665.7890909091859,2.8351732620645667
105656,A070E244-088C-F241-BAF7-17B1707FD096.root,8004,uproot_edm_partial_jets,0,1,,,3,3,3,1567.1592025756836,762.5244140625,698.5220336914062,0.09583161771297455,114.87149047851562,,,,,,,0,,1.0,1,1,1,,3.0,1567.1592025756836,1,1.3862943611198906,0,0,0.35268570320841036,2.3176766128571074,0.6635230277333931,1.5553214151883394,0.6055863114809901,partial_jet_level_real_miniaod,0.655051584215174,-1,1146.8207602794848,2.8347632641904816
75072,4BF81994-E99D-2D45-8C35-E5B7BDC8BB89.root,28759,uproot_edm_partial_jets,0,1,,,3,3,3,1514.982006072998,898.0289916992188,565.5449829101562,1.7177362442016602,116.75680351257324,,,,,,,0,,1.0,1,1,1,,3.0,1514.982006072998,1,1.3862943611198906,0,0,0.35268570320841036,2.2918088077965955,0.6561173852725973,1.529453610127827,0.5955143170368012,partial_jet_level_real_miniaod,0.6555912062086612,-1,657.8876687883363,2.8346417833389013
96869,9C668317-D15E-6349-802E-07E191108980.root,16290,uproot_edm_partial_jets,0,1,,,3,3,3,1537.500473022461,980.625,384.1642150878906,-0.014956318773329258,157.2524242401123,,,,,,,0,,1.0,1,1,1,,3.0,1537.500473022461,1,1.3862943611198906,0,0,0.35268570320841036,2.3029727520548944,0.6593134886696893,1.540617554386126,0.5998611560624466,partial_jet_level_real_miniaod,0.6555912062086612,-1,603.8714961272333,2.8345886354663348
42652,154D5639-79E6-914A-B36C-2EE986A9A5E0.root,18883,uproot_edm_partial_jets,0,1,,,3,3,3,1516.7860374450684,943.5530395507812,517.3672485351562,0.4629676640033722,182.057692527771,,,,,,,0,,1.0,1,1,1,,3.0,1516.7860374450684,1,1.3862943611198906,0,0,0.35268570320841036,2.2927031895377334,0.65637343604238,1.530347991868965,0.5958625571718514,partial_jet_level_real_miniaod,0.6555912062086612,-1,603.5473503411231,2.8345582652534396
105535,A070E244-088C-F241-BAF7-17B1707FD096.root,7883,uproot_edm_partial_jets,0,1,,,3,3,3,1426.1869506835938,751.3240966796875,395.5048828125,0.805480420589447,145.00430297851562,,,,,,,0,,1.0,1,1,1,,3.0,1426.1869506835938,1,1.3862943611198906,0,0,0.35268570320841036,2.2477870255409647,0.6435144767881094,1.4854318278721967,0.5783738157354813,partial_jet_level_real_miniaod,0.6545556420249393,-1,744.2116527067989,2.834273544507547
69074,4BF81994-E99D-2D45-8C35-E5B7BDC8BB89.root,22761,uproot_edm_partial_jets,0,1,,,3,3,3,1394.6333618164062,936.298828125,365.1202392578125,0.8215802311897278,123.57666301727295,,,,,,,0,,1.0,1,1,1,,3.0,1394.6333618164062,1,1.3862943611198906,0,0,0.35268570320841036,2.2321437533744746,0.6390359955133764,1.4697885557057067,0.5722828872635354,partial_jet_level_real_miniaod,0.6558855814661156,-1,451.0153996127882,2.834114100889847
101112,A070E244-088C-F241-BAF7-17B1707FD096.root,3460,uproot_edm_partial_jets,0,1,,,3,3,3,1391.0146026611328,938.2892456054688,356.58026123046875,0.6101386547088623,73.83661556243896,,,,,,,0,,1.0,1,1,1,,3.0,1391.0146026611328,1,1.3862943611198906,0,0,0.35268570320841036,2.2303496869496,0.6385223758049218,1.4679944892808319,0.5715843422180019,partial_jet_level_real_miniaod,0.6558855814661156,-1,447.87015920006496,2.834091323230176
