record_id,process_family,file_index,xrootd_url,status,lumi_entries,num_events_total,num_events_passed,sum_weights_total,sum_weights_passed
68072,TTAssoc,17,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/49B8087A-56B7-7D40-B70E-FD7D3E576E17.root,0,44,25142,25142,15541.1,15541.1
68072,TTAssoc,18,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/54F213A1-617B-4C40-B738-1EF3CFE61B64.root,0,44,25161,25161,15552.9,15552.9
68072,TTAssoc,19,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/5703CC5D-A126-8C44-BD86-E264ABDF78A2.root,0,43,24393,24393,15078.1,15078.1
68072,TTAssoc,20,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/57421580-2AA2-A141-A8EE-535DE9E47CD3.root,0,44,25052,25052,15485.5,15485.5
68072,TTAssoc,21,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/59DD3F1E-6018-F347-9E51-05EDB25BD4EA.root,0,44,25112,25112,15522.6,15522.6
68072,TTAssoc,22,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/60502449-97AD-F549-B5D6-34B730F20317.root,0,44,25161,25161,15552.9,15552.9
68072,TTAssoc,23,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/7B8E484F-B0A6-3240-8F3D-1CC4C3E5711B.root,0,43,24388,24388,15075.1,15075.1
68072,TTAssoc,24,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/8149A59A-A041-CC4E-992D-548599B4E0ED.root,0,44,25146,25146,15543.6,15543.6
68072,TTAssoc,25,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/109D40F3-373E-ED49-9065-DEEBD3BA09AD.root,0,44,25263,25263,15615.9,15615.9
68072,TTAssoc,26,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/81ADDE23-6101-CE43-AFED-F9D9E509E085.root,0,44,25394,25394,15696.9,15696.9
