outcome,feature_set,model,scheme,n,r2,mae,rmse,corr
abs_Z_conservative,label_plus_core_rare,elasticnet,ATLAS_train_CMS_test,197,-0.05062689899767081,0.45317108038874937,0.5590661750325516,-0.13099950478634514
abs_Z_conservative,label_plus_core_rare,elasticnet,CMS_train_ATLAS_test,555,-0.03194955620996964,0.46085467843222944,0.6828573323367109,
abs_Z_conservative,label_plus_core_rare,huber,GroupKFold_by_analysis,752,-0.40214437775535106,0.47987874933637076,0.7620909885800115,0.058267656704512547
abs_Z_conservative,label_plus_core_rare,huber,ATLAS_train_CMS_test,197,-2.524292485798428,0.691997133171639,1.023940995485602,0.15280061278215504
abs_Z_conservative,label_plus_core_rare,huber,CMS_train_ATLAS_test,555,-2978.6578184491464,12.562028516332138,36.69306069338877,0.2084808795783647
abs_Z_conservative,label_plus_core_rare,forest,GroupKFold_by_analysis,752,-0.018618745085633437,0.4710284498013863,0.6495555394937641,0.08811770080499864
abs_Z_conservative,label_plus_core_rare,forest,ATLAS_train_CMS_test,197,-0.014876391202276684,0.4155345718845303,0.5494719589447157,0.0531147240781633
abs_Z_conservative,label_plus_core_rare,forest,CMS_train_ATLAS_test,555,-0.06289548825190461,0.4591671424698616,0.6930204091552418,0.023545573254717293
abs_Z_conservative,components_sparse,ols,GroupKFold_by_analysis,752,-1.138002590524236,0.5434112640590014,0.9410540592793253,0.09553671858235126
abs_Z_conservative,components_sparse,ols,ATLAS_train_CMS_test,197,-6.224878169410715,0.7198992152841006,1.4660683673417387,0.13567689771942154
abs_Z_conservative,components_sparse,ols,CMS_train_ATLAS_test,555,-2595.388710926713,11.723921104361107,34.25197346300476,0.2084976381480756
abs_Z_conservative,components_sparse,ridge,GroupKFold_by_analysis,752,-0.5479822948085935,0.5036596947318949,0.8007435579056688,0.06038770201078652
abs_Z_conservative,components_sparse,ridge,ATLAS_train_CMS_test,197,-4.1102775294001175,0.6736714548948735,1.232994679163801,0.13417901312038397
abs_Z_conservative,components_sparse,ridge,CMS_train_ATLAS_test,555,0.012823391546396001,0.4606690451434709,0.66787958834713,0.17841562447419984
abs_Z_conservative,components_sparse,elasticnet,GroupKFold_by_analysis,752,-0.03176322978996349,0.46979607879080687,0.6537331107839505,0.014412636858672282
abs_Z_conservative,components_sparse,elasticnet,ATLAS_train_CMS_test,197,-1.941893266240759,0.63177379061065,0.9355185757480681,0.11270804287123058
abs_Z_conservative,components_sparse,elasticnet,CMS_train_ATLAS_test,555,0.01648847500461681,0.46231285513575165,0.6666386195822147,0.1750010858715891
abs_Z_conservative,components_sparse,huber,GroupKFold_by_analysis,752,-0.6872914497920688,0.5078300460216647,0.8359985260379825,0.08859338851770637
abs_Z_conservative,components_sparse,huber,ATLAS_train_CMS_test,197,-4.030483063504627,0.7162403113457857,1.2233305031780908,0.12582259146483163
abs_Z_conservative,components_sparse,huber,CMS_train_ATLAS_test,555,-3001.091255817573,12.608417754397188,36.830930204804446,0.20849480620373284
abs_Z_conservative,components_sparse,forest,GroupKFold_by_analysis,752,-0.03568138048903524,0.4792366671724381,0.6549732197577641,0.06244887207355842
abs_Z_conservative,components_sparse,forest,ATLAS_train_CMS_test,197,-0.057075722721300126,0.419237427878048,0.5607793444283895,-0.025896485332593075
abs_Z_conservative,components_sparse,forest,CMS_train_ATLAS_test,555,-0.030629104457958523,0.4940987905233063,0.6824203105942956,-0.06781267397810106
abs_Poisson,baseline_metadata,ols,GroupKFold_by_analysis,752,-0.03112132423010161,0.6573734672631061,0.8694736586279032,-0.13178635884683026
abs_Poisson,baseline_metadata,ols,ATLAS_train_CMS_test,197,-1.9896875469786064,1.211792830585615,1.5354386635041033,-0.0871934199130247
abs_Poisson,baseline_metadata,ols,CMS_train_ATLAS_test,555,-0.002325474354995416,0.6316766220597632,0.8451187642492037,-0.01670440200196878
abs_Poisson,baseline_metadata,ridge,GroupKFold_by_analysis,752,-0.017566809684722573,0.652286275278803,0.863739958633175,-0.1571411503998736
abs_Poisson,baseline_metadata,ridge,ATLAS_train_CMS_test,197,-1.3013722416321416,1.0599369835785273,1.3471408519243397,-0.08738620886340752
abs_Poisson,baseline_metadata,ridge,CMS_train_ATLAS_test,555,-0.0038453666954127996,0.6407177100981959,0.845759276238138,-0.05858956499760068
abs_Poisson,baseline_metadata,elasticnet,GroupKFold_by_analysis,752,-0.01050254361753078,0.6503673707636993,0.8607365608715651,-0.14148097579203284
abs_Poisson,baseline_metadata,elasticnet,ATLAS_train_CMS_test,197,-0.004520744883242278,0.6875729449914623,0.8900184836601208,-1.808711469718703e-16
abs_Poisson,baseline_metadata,elasticnet,CMS_train_ATLAS_test,555,-0.0021073268422466818,0.6331050699831187,0.8450267928320697,-0.10092709568985518
abs_Poisson,baseline_metadata,huber,GroupKFold_by_analysis,752,-0.06425394190596534,0.635457594598112,0.8833324374646113,-0.1189239590163267
abs_Poisson,baseline_metadata,huber,ATLAS_train_CMS_test,197,-2.2625633763332558,1.218446835205991,1.603980371675437,-0.08818465074731031
abs_Poisson,baseline_metadata,huber,CMS_train_ATLAS_test,555,-0.48539390799668625,0.6972344597056994,1.0288076374157509,-0.03461917475310426
