mode,sample_validation_id,region,uncertainty,microband,observed,expected
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.2,q90_95,1525.0,1525.0
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.2,q95_97,560.0,555.0645734112976
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.2,q97_98,289.0,267.3993240353338
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.2,q98_99,309.0,269.23950741959806
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.2,q99_100,300.0,259.87445876008434
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.3,q90_95,1525.0,1525.0
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.3,q95_97,560.0,555.0645734112976
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.3,q97_98,289.0,267.3993240353338
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.3,q98_99,309.0,269.23950741959806
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.3,q99_100,300.0,259.87445876008434
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.4,q90_95,1525.0,1525.0
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.4,q95_97,560.0,555.0645734112976
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.4,q97_98,289.0,267.3993240353338
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.4,q98_99,309.0,269.23950741959806
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.4,q99_100,300.0,259.87445876008434
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.5,q90_95,1525.0,1525.0
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.5,q95_97,560.0,555.0645734112976
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.5,q97_98,289.0,267.3993240353338
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.5,q98_99,309.0,269.23950741959806
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.5,q99_100,300.0,259.87445876008434
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.1,q90_95,1980.0,1980.0
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.1,q95_97,1195.0,596.9902874215218
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.1,q97_98,704.0,199.91627916192658
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.1,q98_99,799.0,257.23277394081396
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.1,q99_100,908.0,265.52196129143726
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.2,q90_95,1980.0,1980.0
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.2,q95_97,1195.0,596.9902874215218
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.2,q97_98,704.0,199.91627916192658
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.2,q98_99,799.0,257.23277394081396
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.2,q99_100,908.0,265.52196129143726
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.3,q90_95,1980.0,1980.0
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.3,q95_97,1195.0,596.9902874215218
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.3,q97_98,704.0,199.91627916192658
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.3,q98_99,799.0,257.23277394081396
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.3,q99_100,908.0,265.52196129143726
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.4,q90_95,1980.0,1980.0
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.4,q95_97,1195.0,596.9902874215218
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.4,q97_98,704.0,199.91627916192658
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.4,q98_99,799.0,257.23277394081396
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.4,q99_100,908.0,265.52196129143726
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.5,q90_95,1980.0,1980.0
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.5,q95_97,1195.0,596.9902874215218
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.5,q97_98,704.0,199.91627916192658
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.5,q98_99,799.0,257.23277394081396
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.5,q99_100,908.0,265.52196129143726
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.1,q90_95,3304.0,3304.0
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.1,q95_97,1311.0,996.1898533538929
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.1,q97_98,679.0,333.5976698742452
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.1,q98_99,681.0,429.240952070934
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.1,q99_100,626.0,443.07301015500445
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.2,q90_95,3304.0,3304.0
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.2,q95_97,1311.0,996.1898533538929
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.2,q97_98,679.0,333.5976698742452
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.2,q98_99,681.0,429.240952070934
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.2,q99_100,626.0,443.07301015500445
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.3,q90_95,3304.0,3304.0
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.3,q95_97,1311.0,996.1898533538929
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.3,q97_98,679.0,333.5976698742452
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.3,q98_99,681.0,429.240952070934
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.3,q99_100,626.0,443.07301015500445
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.4,q90_95,3304.0,3304.0
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.4,q95_97,1311.0,996.1898533538929
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.4,q97_98,679.0,333.5976698742452
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.4,q98_99,681.0,429.240952070934
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.4,q99_100,626.0,443.07301015500445
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.5,q90_95,3304.0,3304.0
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.5,q95_97,1311.0,996.1898533538929
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.5,q97_98,679.0,333.5976698742452
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.5,q98_99,681.0,429.240952070934
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.5,q99_100,626.0,443.07301015500445
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,q90_95,315.0,315.0
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,q95_97,113.0,94.97572754433301
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,q97_98,43.0,31.804862593942865
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,q98_99,76.0,40.9233958542204
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,q99_100,41.0,42.24213020545593
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,q90_95,315.0,315.0
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,q95_97,113.0,94.97572754433301
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,q97_98,43.0,31.804862593942865
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,q98_99,76.0,40.9233958542204
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,q99_100,41.0,42.24213020545593
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,q90_95,315.0,315.0
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,q95_97,113.0,94.97572754433301
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,q97_98,43.0,31.804862593942865
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,q98_99,76.0,40.9233958542204
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,q99_100,41.0,42.24213020545593
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,q90_95,315.0,315.0
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,q95_97,113.0,94.97572754433301
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,q97_98,43.0,31.804862593942865
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,q98_99,76.0,40.9233958542204
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,q99_100,41.0,42.24213020545593
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,q90_95,315.0,315.0
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,q95_97,113.0,94.97572754433301
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,q97_98,43.0,31.804862593942865
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,q98_99,76.0,40.9233958542204
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,q99_100,41.0,42.24213020545593
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,q90_95,882.0,882.0
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,q95_97,294.0,265.9320371241324
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,q97_98,119.0,89.05361526304002
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,q98_99,129.0,114.58550839181713
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,q99_100,108.0,118.27796457527661
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,q90_95,882.0,882.0
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,q95_97,294.0,265.9320371241324
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,q97_98,119.0,89.05361526304002
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,q98_99,129.0,114.58550839181713
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,q99_100,108.0,118.27796457527661
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.3,q90_95,882.0,882.0
