primary_dataset,missing_decile_frozen,microband,score_low,score_high,reference_events_in_decile
SingleMuon,0,q99_100,-0.8059697942874771,inf,24083
SingleMuon,1,q90_95,-0.4862697407686639,-0.43915392014950977,24081
SingleMuon,1,q95_97,-0.43915392014950977,-0.4139996781621025,24081
SingleMuon,1,q97_98,-0.4139996781621025,-0.39369463334682747,24081
SingleMuon,1,q98_99,-0.39369463334682747,-0.36341169440687104,24081
SingleMuon,1,q99_100,-0.36341169440687104,inf,24081
SingleMuon,2,q90_95,-0.20038828253260518,-0.15921256506350745,24086
SingleMuon,2,q95_97,-0.15921256506350745,-0.1358625928136101,24086
SingleMuon,2,q97_98,-0.1358625928136101,-0.11595522537119186,24086
SingleMuon,2,q98_99,-0.11595522537119186,-0.08859503735960356,24086
SingleMuon,2,q99_100,-0.08859503735960356,inf,24086
SingleMuon,3,q90_95,0.0153981178562453,0.05150857591096999,24082
SingleMuon,3,q95_97,0.05150857591096999,0.07499005397161033,24082
SingleMuon,3,q97_98,0.07499005397161033,0.09336581228882364,24082
SingleMuon,3,q98_99,0.09336581228882364,0.12340971181048621,24082
SingleMuon,3,q99_100,0.12340971181048621,inf,24082
SingleMuon,4,q90_95,0.19769924974713018,0.23153904070140585,24083
SingleMuon,4,q95_97,0.23153904070140585,0.25745671826113387,24083
SingleMuon,4,q97_98,0.25745671826113387,0.2750945925682762,24083
SingleMuon,4,q98_99,0.2750945925682762,0.30359654885364706,24083
SingleMuon,4,q99_100,0.30359654885364706,inf,24083
SingleMuon,5,q90_95,0.3614134535179301,0.39615386222072607,24083
SingleMuon,5,q95_97,0.39615386222072607,0.42057112408584524,24083
SingleMuon,5,q97_98,0.42057112408584524,0.43819398177961916,24083
SingleMuon,5,q98_99,0.43819398177961916,0.4640832353560127,24083
SingleMuon,5,q99_100,0.4640832353560127,inf,24083
SingleMuon,6,q90_95,0.5207860890301226,0.5569818956066835,24084
SingleMuon,6,q95_97,0.5569818956066835,0.5810299596324784,24084
SingleMuon,6,q97_98,0.5810299596324784,0.5985807943030659,24084
SingleMuon,6,q98_99,0.5985807943030659,0.6315039558135345,24084
SingleMuon,6,q99_100,0.6315039558135345,inf,24084
SingleMuon,7,q90_95,0.6886527755828982,0.7250711567280415,24082
SingleMuon,7,q95_97,0.7250711567280415,0.7483331505166878,24082
SingleMuon,7,q97_98,0.7483331505166878,0.7683219266018139,24082
SingleMuon,7,q98_99,0.7683219266018139,0.7979426955222444,24082
SingleMuon,7,q99_100,0.7979426955222444,inf,24082
SingleMuon,8,q90_95,0.8941216924748119,0.9345944456535772,24083
SingleMuon,8,q95_97,0.9345944456535772,0.9578425986674788,24083
SingleMuon,8,q97_98,0.9578425986674788,0.9767480100175744,24083
SingleMuon,8,q98_99,0.9767480100175744,1.0061317724266163,24083
SingleMuon,8,q99_100,1.0061317724266163,inf,24083
SingleMuon,9,q90_95,1.461828905647021,1.6465036763431742,24084
SingleMuon,9,q95_97,1.6465036763431742,1.7865544122496364,24084
SingleMuon,9,q97_98,1.7865544122496364,1.8932094108388808,24084
SingleMuon,9,q98_99,1.8932094108388808,2.0829942071025456,24084
SingleMuon,9,q99_100,2.0829942071025456,inf,24084
