record_id,file_index,size,uri,eos_path,xrootd_status
74907,36,44119634,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/230000/224B3093-1CE2-F44E-8B45-D65627351120.root,/eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/230000/224B3093-1CE2-F44E-8B45-D65627351120.root,FAIL
74907,37,45630897,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/230000/C2972426-4418-D544-B0D2-C819EFDD040B.root,/eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/230000/C2972426-4418-D544-B0D2-C819EFDD040B.root,FAIL
74907,38,46946339,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/2510000/1524C5D8-9C1F-B949-A47B-3A4CED4E9743.root,/eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/2510000/1524C5D8-9C1F-B949-A47B-3A4CED4E9743.root,FAIL
74907,39,47230383,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/40000/369056BB-EBFA-FB44-81C0-2C9A2ADA591D.root,/eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/40000/369056BB-EBFA-FB44-81C0-2C9A2ADA591D.root,FAIL
74907,40,57171203,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/230000/EBCDDBB7-A139-6A40-951A-889F0B87954E.root,/eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/230000/EBCDDBB7-A139-6A40-951A-889F0B87954E.root,FAIL
74907,41,60151969,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/230000/13266DCE-F40E-104B-8377-EE3B51236DAD.root,/eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/230000/13266DCE-F40E-104B-8377-EE3B51236DAD.root,FAIL
74907,42,61351538,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/250000/34C25973-81F1-124D-B8B9-0DF2A3B31F8E.root,/eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/250000/34C25973-81F1-124D-B8B9-0DF2A3B31F8E.root,FAIL
74907,43,62658553,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/230000/EA8B44D0-F7D9-3B41-ADAD-4119088DBBC6.root,/eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/230000/EA8B44D0-F7D9-3B41-ADAD-4119088DBBC6.root,FAIL
74907,44,62878924,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/250000/F03FA6D1-E4FB-864C-8155-9CD6CF2DF745.root,/eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/250000/F03FA6D1-E4FB-864C-8155-9CD6CF2DF745.root,FAIL
74907,45,63304874,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/250000/E511873E-E660-E848-9C97-912E7B7C2DF8.root,/eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/250000/E511873E-E660-E848-9C97-912E7B7C2DF8.root,FAIL
