run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,leading_muon_pt,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,HLT_PFMET120_PFMHT120_IDTight,HLT_PFMETNoMu120_PFMHTNoMu_IDTight,HLT_PFMET110_PFMHT110_IDTight,HLT_PFMET170_HBHECleaned,HLT_PFMET170_NotCleaned,HLT_PFHT800,HLT_PFHT900,HLT_IsoMu20,HLT_IsoMu24,HLT_IsoTkMu24,HLT_Mu50,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status,MET_fraction,N_objects,S_event_proxy,high_MET,high_multiplicity,B_event,B_event_z
279588,959,1670871106,20.3215,-2.19848,70.8331,-3.0855,0.6154189999999999,-50.5115,9,2,1,115.09700000000001,195.778,83.3639,31.7334,1,1,2,33.1506,21.4523,1,0,0,0.606324,23,1752,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.14896439998973748,4,1.6094379124341003,0,0,0.4598165118400003,0.098911009631627
279588,959,1671949958,53.4752,3.0750599999999997,102.818,0.8385030000000001,0.465855,-49.3427,13,3,3,220.708,394.145,93.7448,67.8993,2,0,2,66.5669,41.449,2,0,0,0.746468,21,1882,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.19432581640158267,5,1.791759469228055,0,0,6.130095673350849,1.349652277960219
279588,959,1671354375,30.0614,-2.43337,20.659000000000002,2.84022,0.055115599999999994,9.40241,10,2,2,374.83,506.07099999999997,194.143,180.687,2,2,4,176.666,36.1574,3,0,0,0.676269,21,1885,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.07406266799444383,6,1.9459101490553132,0,0,7.430671964834928,1.6365313528760759
279588,959,1671206341,53.7176,2.1036599999999996,42.8771,2.01017,1.0,10.8405,4,1,0,42.8771,79.3982,42.8771,12.763,1,0,1,35.3761,35.3761,0,0,0,0.526269,17,1463,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.5504151352481231,2,1.0986122886681096,0,0,-1.7001358297011975,-0.3775278841579907
279588,959,1670933893,41.8339,1.19823,39.3211,1.07282,1.0,2.51281,7,1,0,39.3211,113.77,39.3211,16.057000000000002,1,0,1,28.733,28.733,1,0,0,0.552984,27,2105,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.5092069867932566,2,1.0986122886681096,0,0,-2.4140027892491287,-0.5349915364704725
279588,959,1670776641,41.3273,1.22031,39.9994,2.06406,1.0,1.32796,5,1,0,39.9994,89.4417,39.9994,15.8009,1,0,1,23.406999999999996,23.406999999999996,3,2,0,0.8721049999999999,20,1626,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.5019914559917985,2,1.6094379124341003,0,0,2.8881983296534015,0.6345596555421646
279588,959,1671771972,24.701999999999998,0.716626,31.7889,1.06284,0.340512,-7.086860000000001,6,2,1,93.3563,157.29,61.2812,32.0751,2,0,2,77.5227,49.2625,1,0,0,0.688141,24,1794,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.20747818505723664,4,1.6094379124341003,0,0,0.7361997604165368,0.159875192350505
279588,959,1671666566,53.4703,2.15239,47.0241,1.62941,1.0,6.44618,2,1,0,47.0241,59.8948,47.0241,12.8707,1,0,1,32.2653,32.2653,0,0,0,0.173723,24,1672,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.5268300517072864,2,1.0986122886681096,0,0,-1.778814338883132,-0.3948826660940171
279588,959,1671030663,21.8348,1.53077,33.2325,1.84113,1.0,-11.3977,3,1,0,33.2325,57.3812,33.2325,13.0791,1,0,1,28.7057,28.7057,0,0,0,0.530637,11,1186,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.38943912048555934,2,1.0986122886681096,0,0,-3.8253653701541115,-0.8463076770398659
279588,959,1670817537,4.54624,1.5822100000000001,44.5135,0.6724060000000001,1.0,-39.9673,9,1,0,44.5135,171.375,44.5135,21.8078,1,0,1,22.78,22.78,2,0,0,0.557052,15,1330,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.09081629269348983,2,1.0986122886681096,0,0,-5.735532263595331,-1.2676492891493787
279588,959,1670807175,45.5421,1.0995,49.1011,0.223465,0.10923800000000002,-3.5589800000000005,8,4,3,449.48800000000006,504.82800000000003,213.012,111.958,1,1,2,67.165,57.0619,3,2,2,0.975142,9,1069,5,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0.09181317827285077,6,2.1972245773362196,0,0,12.980778978060567,2.8607652375498627
279588,959,1671134918,34.7362,3.06735,50.4132,2.5871,0.503495,-15.677,7,2,1,100.126,173.62099999999998,66.4758,33.6507,1,0,1,52.8587,52.8587,1,0,0,0.78647,16,1690,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0.25567229148357673,3,1.3862943611198906,0,0,-0.736270039549448,-0.16491988258797258
279588,959,1672415368,25.0077,-2.5657,44.0737,1.18318,1.0,-19.0659,4,1,0,44.0737,90.8728,44.0737,24.9909,2,0,2,36.7601,25.5001,1,0,0,0.6474770000000001,18,1238,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.35683790563544676,3,1.3862943611198906,0,0,-1.4173689587504132,-0.3151556120457203
279588,959,1671051971,22.4993,1.02492,0.0,0.0,0.0,22.4993,2,0,0,0.0,38.861999999999995,28.5927,10.2693,1,0,1,25.0915,25.0915,0,0,0,0.526726,18,1404,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.9574455409310064,1,0.6931471805599453,0,0,-3.6345516142308947,-0.8042182785640498
279588,959,1672337605,87.5213,2.26349,72.7108,2.2179,0.240008,14.8104,4,2,2,302.952,343.93199999999996,187.465,115.48700000000001,3,0,3,163.326,66.5345,0,0,0,0.33608000000000005,15,1229,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0.22356901479615596,5,1.791759469228055,0,0,8.054745051028382,1.7741884136877628
279588,959,1671490307,62.5505,-2.85708,38.5164,-2.83622,1.0,24.0341,3,1,0,38.5164,75.8889,38.5164,20.3788,1,0,1,26.4844,26.4844,1,0,0,0.687059,25,1674,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.612838246287484,2,1.0986122886681096,0,0,-1.0881911724365199,-0.24254609314327968
279588,959,1671574977,19.0137,-0.925369,44.0907,-1.17654,1.0,-25.0769,3,1,0,44.0907,74.5684,44.0907,15.362,1,0,1,35.6024,35.6024,1,0,0,0.557593,23,1647,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.2966052252263495,2,1.0986122886681096,0,0,-4.254948423841328,-0.9410644320632032
279588,959,1670856710,13.3823,-0.933205,23.6488,-2.19707,0.292385,-10.2666,5,2,0,80.8826,118.61200000000001,46.2906,34.592,1,0,1,38.5068,38.5068,0,0,0,0.53767,15,1090,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0.14047461342005294,3,1.3862943611198906,0,0,-3.234971899562602,-0.7160796129203933
279588,959,1670950600,16.4331,-1.08019,40.5435,-0.8564930000000001,1.0,-24.1104,4,1,0,40.5435,81.5544,40.5435,17.4275,1,0,1,30.2219,30.2219,0,0,0,0.528943,18,1510,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.2834436652028577,2,1.0986122886681096,0,0,-4.447502792114459,-0.9835377720763211
279588,959,1671615297,28.6415,1.25181,13.2088,-2.34485,0.125884,15.4327,3,2,1,104.928,115.84,58.2129,46.7154,1,0,1,40.8713,40.8713,0,0,0,0.416853,15,1221,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.21283797591579073,3,1.3862943611198906,0,0,-1.1445696365560476,-0.25498196617717234
279588,959,1671555396,4.62977,-0.332886,8.49752,-0.756415,0.07591210000000001,-3.86774,6,2,2,111.939,165.215,59.8651,52.0738,1,0,1,34.0243,34.0243,2,0,0,0.635425,16,1170,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0.03937925011888787,3,1.3862943611198906,0,0,-1.9064272720678441,-0.4230313263910263
279588,959,1671060040,10.1604,1.1192600000000001,35.8681,-1.00286,1.0,-25.7076,7,1,0,35.8681,110.48899999999999,35.8681,15.2538,1,0,1,27.3082,27.3082,0,0,0,0.531382,21,1702,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.21604771574683437,2,1.0986122886681096,0,0,-5.033959569898469,-1.1128974866816297
279588,959,1671031813,22.0163,1.89888,50.1961,2.17083,0.120004,-28.1798,6,3,2,418.285,467.285,230.887,155.873,2,0,2,77.3247,45.1873,2,1,0,0.9164120000000001,13,1152,5,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.04988949726638014,5,1.9459101490553132,0,0,7.0466762662144635,1.5518301850067127
279588,959,1671592257,74.1405,1.21555,43.9189,1.64264,1.0,30.2216,4,1,0,43.9189,86.1402,43.9189,17.3455,1,0,1,32.7978,32.7978,1,0,0,0.5523680000000001,24,1656,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.6227185757697418,2,1.0986122886681096,0,0,-0.5037770333577652,-0.11363694057419142
279588,959,1671023169,33.804,-1.6753099999999999,33.1169,-1.15866,1.0,0.687103,5,1,0,33.1169,82.682,33.1169,17.4932,1,0,1,23.7537,23.7537,2,0,0,0.6597729999999999,15,1591,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.4976965852925977,2,1.0986122886681096,0,0,-2.8560457174503906,-0.6324966710372185
279588,959,1670883778,36.4457,-0.418742,8.98888,1.12495,0.11158299999999999,27.4568,3,2,0,80.5577,91.8996,41.2888,39.2689,2,0,2,50.0143,29.7747,2,2,1,0.9692959999999999,13,1180,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.30885296525354355,4,1.9459101490553132,0,0,5.516417954323409,1.214288210904857
279588,959,1671007041,28.2059,-1.76765,34.3705,2.35754,1.0,-6.16455,2,1,0,34.3705,46.5361,34.3705,12.1656,1,0,1,24.3684,24.3684,1,0,0,0.71534,23,1399,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.4436536198966912,2,1.0986122886681096,0,0,-3.3148897305863563,-0.7337077625210714
