run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,HLT_PFMET120_PFMHT120_IDTight,HLT_PFMETNoMu120_PFMHTNoMu_IDTight,HLT_PFHT800,HLT_PFHT900,HLT_IsoMu20,HLT_IsoMu24,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status,MET_fraction,N_objects,S_event_proxy,high_MET,high_multiplicity,B_event,B_event_z
280330,41,79033026,65.2652,0.7990430000000001,34.9684,1.4803,0.06949889999999999,30.2968,12,7,4,503.151,565.365,174.945,89.8544,1,0,1,15.439,2,1,1,0.996877,26,1856,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.11461774357666675,8,2.302585092994046,0,1,5.810575252186448,1.2938546529056096
280330,41,78686276,23.7677,-1.9964400000000002,36.2482,2.74137,1.0,-12.4805,7,1,0,36.2482,136.164,36.2482,29.6844,0,0,0,0.0,0,0,0,0.5303260000000001,29,2011,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.3895328922461195,1,0.6931471805599453,0,0,-7.628710195607631,-1.8309987672224721
280330,41,79467334,0.969274,-2.76241,273.461,1.79227,0.46593599999999996,-272.492,10,6,4,586.9069999999999,659.2310000000001,258.874,92.5668,1,2,3,115.993,1,0,0,0.543787,22,1704,5,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0.00164597224034195,9,2.302585092994046,0,1,3.0802453233496947,0.6590083398820247
280330,41,79424130,15.6812,2.33168,303.705,0.29440900000000003,0.8042,-288.024,9,4,3,377.649,453.249,203.146,80.8349,0,0,0,0.0,0,0,0,0.533521,24,1929,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.039766672702217586,4,1.6094379124341003,0,0,-3.5460373807293246,-0.8817106403800979
280330,41,79831938,39.0199,-1.0662200000000002,14.1216,0.6170899999999999,0.018472099999999998,24.8983,5,2,2,764.4830000000001,820.574,386.471,378.01199999999994,0,0,0,0.0,0,0,0,0.36396100000000003,19,1546,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.04850187612748195,2,1.0986122886681096,0,0,-4.227751635774515,-1.0402203416364018
280330,41,79450049,71.9077,-1.9719900000000001,86.5825,-1.49068,0.208242,-14.6748,12,8,3,415.778,490.45300000000003,87.0589,68.4552,0,0,0,0.0,1,0,0,0.660142,27,2126,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.1471450873229972,8,2.1972245773362196,0,1,3.130871016951802,0.6707796407010626
280330,41,78728322,66.8372,0.700679,33.599000000000004,-2.62986,0.0467723,33.2382,10,4,4,718.352,801.435,313.055,202.261,0,1,1,12.1797,2,0,0,0.556599,18,1633,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.08501414163410029,5,1.791759469228055,0,0,1.2835629772192376,0.24125034255404573
280330,41,80127427,187.459,0.908422,38.0557,0.800708,0.046077999999999994,149.403,9,3,3,825.898,923.055,393.9,218.905,2,0,2,124.889,2,0,0,0.552477,21,1641,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0.18480574393433477,5,1.791759469228055,0,0,5.680680376998257,1.2636519723713144
280330,41,79528964,32.8654,-2.23293,96.9475,2.23127,0.262474,-64.0822,17,6,3,369.36,546.314,96.4703,79.0446,0,0,0,0.0,3,3,3,0.9939790000000001,35,2573,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.08150627415832434,6,2.302585092994046,0,1,5.248348707246813,1.1631277962832
280330,41,78524423,29.651999999999997,0.202938,24.2594,-0.10535499999999999,0.021749099999999997,5.39257,7,3,3,1115.42,1165.52,565.595,482.02,0,1,1,523.94,1,0,0,0.630263,22,1860,4,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0.025872720038531607,4,1.6094379124341003,0,0,-0.5224187314717259,-0.17866990849010672
