run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,HLT_PFMET120_PFMHT120_IDTight,HLT_PFMETNoMu120_PFMHTNoMu_IDTight,HLT_PFHT800,HLT_PFHT900,HLT_IsoMu20,HLT_IsoMu24,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status
280330,41,79236527,27.8619,0.0975579,53.585,0.292337,0.265079,-25.7231,9,3,3,202.147,301.178,95.504,55.8505,0,0,0,0,4,1,0,0.878523,35,2233,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78577582,25.3897,2.42836,32.5071,2.92379,0.0319077,-7.11743,12,3,2,1018.79,1161.77,510.967,470.83,3,0,3,179.483,2,0,0,0.608957,21,1878,5,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
280330,41,78803947,51.2559,1.29444,38.6973,1.2756,0.0950567,12.5586,8,3,2,407.097,478.281,208.448,156.619,0,0,0,0,3,0,0,0.817264,28,1945,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79404141,20.9234,-1.70378,54.6772,1.65822,0.0426464,-33.7538,7,5,2,1282.11,1324.48,580.427,572.769,0,0,0,0,1,0,0,0.709628,21,1645,4,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
280330,41,78945652,86.7064,0.896535,40.1871,-0.331601,0.0478277,46.5193,4,2,2,840.248,884.789,426.505,413.743,0,1,1,47.2352,0,0,0,0.525038,21,1772,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79832108,34.3556,-2.14244,61.8046,-2.07739,0.0712685,-27.4489,8,2,2,867.207,955.534,445.778,421.429,0,0,0,0,5,0,0,0.743385,36,1993,3,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78568946,48.349,-0.950049,58.0316,-0.833788,0.133896,-9.68261,11,2,2,433.409,571.752,217.867,215.541,0,2,2,38.8905,2,0,0,0.722378,35,2069,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79617844,27.2826,-2.3647,6.88839,-2.38942,0.0107025,20.3942,4,2,2,643.626,669.436,324.052,319.574,1,0,1,75.6922,2,0,0,0.765662,29,1921,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79385716,46.6908,-2.05406,350.061,-2.55808,0.82706,-303.37,8,3,3,423.259,485.695,309.311,58.4362,1,0,1,25.3748,2,1,1,0.996041,25,1919,7,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78567221,97.8481,-1.63018,49.4675,-1.48741,0.0758005,48.3806,9,3,3,652.601,738.669,305.379,291.288,3,0,3,78.7017,1,0,0,0.743899,26,1794,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78741169,63.4938,-1.62006,49.5872,-1.32549,0.0725235,13.9066,7,2,2,683.74,754.169,366.387,317.353,1,0,1,49.5258,1,1,0,0.878219,25,1918,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79094827,73.2235,0.630314,40.2881,0.46104,0.0429674,32.9354,7,3,3,937.644,1003.08,486.312,288.48,0,1,1,338.17,3,0,0,0.837811,30,2130,5,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
280330,41,78762483,16.148,-2.41943,102.839,-2.38266,0.201598,-86.6911,12,5,4,510.12,615.198,195.893,162.824,0,0,0,0,2,2,1,0.994681,16,1532,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78947381,23.1396,1.72308,25.3662,2.29738,0.155055,-2.22663,7,2,2,163.595,224.921,82.6989,80.8964,0,0,0,0,1,0,0,0.761493,26,1659,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78685301,28.9184,-2.07183,35.2732,0.15536,0.142398,-6.35478,8,3,2,247.709,321.459,128.211,79.7655,0,0,0,0,2,0,0,0.552821,27,1727,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
