analysis,experiment,sqrt_s,luminosity,signal_region,N_obs,N_exp,sigma_exp,MET,HT_or_meff,N_jets,N_leptons,N_btags,category,source_path,source_url
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13,139.0,SRLow_Bin_2,4.0,3.518383995629847,1.525256650649721,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRLow_Bin_2/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRLow_Bin_2/dataInfo.txt
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13,139.0,SRLow_Bin_3,10.0,7.307688193395734,1.9768898980935659,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRLow_Bin_3/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRLow_Bin_3/dataInfo.txt
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13,139.0,SRLow_Bin_4,74.0,82.42549605667591,2.499541510871995,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRLow_Bin_4/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRLow_Bin_4/dataInfo.txt
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13,139.0,SRLow_Bin_5,8.0,6.385065665468574,1.2533112810154945,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRLow_Bin_5/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRLow_Bin_5/dataInfo.txt
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13,139.0,SRLow_Bin_6,5.0,5.082157160621136,1.9766191890528408,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRLow_Bin_6/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRLow_Bin_6/dataInfo.txt
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13,139.0,SRLow_Bin_7,7.0,2.7261937092989683,1.5571880650743568,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRLow_Bin_7/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRLow_Bin_7/dataInfo.txt
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13,139.0,SRLow_Bin_8,3.0,1.6239504769910127,1.1610795300380625,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRLow_Bin_8/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRLow_Bin_8/dataInfo.txt
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13,139.0,SRLow_Bin_9,3.0,1.9784078290686011,1.19622836503299,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRLow_Bin_9/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRLow_Bin_9/dataInfo.txt
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13,139.0,SRMed_Bin_1,11.0,19.530398052185774,4.160507506139764,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRMed_Bin_1/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRMed_Bin_1/dataInfo.txt
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13,139.0,SRMed_Bin_2,27.0,27.937604054808617,2.0638126137366473,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRMed_Bin_2/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRMed_Bin_2/dataInfo.txt
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13,139.0,SRMed_Bin_3,18.0,12.071621686220169,3.0890954485443527,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRMed_Bin_3/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRMed_Bin_3/dataInfo.txt
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13,139.0,SRMed_Bin_4,4.0,7.5089333560317755,2.7214288007035634,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRMed_Bin_4/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRMed_Bin_4/dataInfo.txt
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13,139.0,SRMed_Bin_5,5.0,5.604245090158656,2.2113523417218675,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRMed_Bin_5/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRMed_Bin_5/dataInfo.txt
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13,139.0,SRMed_Bin_6,0.0,1.0913405334576964,0.9430538587011608,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRMed_Bin_6/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRMed_Bin_6/dataInfo.txt
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13,139.0,SRZHigh_cuts,3.0,5.682671178132296,0.4098210613449702,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRZHigh_cuts/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRZHigh_cuts/dataInfo.txt
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13,139.0,SRZLow_cuts,35.0,29.663204587996006,1.231685169627945,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRZLow_cuts/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRZLow_cuts/dataInfo.txt
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13,139.0,SRZMed_cuts,15.0,14.899351075291634,1.0505669385064922,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRZMed_cuts/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-05-strong-eff/SRZMed_cuts/dataInfo.txt
ATLAS-SUSY-2018-06-eff,ATLAS,13,139.0,SR_ISR,30.0,23.4,2.1,,,,,,compressed,13TeV/ATLAS/ATLAS-SUSY-2018-06-eff/SR_ISR/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-06-eff/SR_ISR/dataInfo.txt
ATLAS-SUSY-2018-06-eff,ATLAS,13,139.0,SR_low,51.0,46.0,5.0,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2018-06-eff/SR_low/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-06-eff/SR_low/dataInfo.txt
ATLAS-SUSY-2018-08-eff,ATLAS,13,139.0,SR4la,19.0,19.3,2.7,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2018-08-eff/SR4la/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-08-eff/SR4la/dataInfo.txt
ATLAS-SUSY-2018-08-eff,ATLAS,13,139.0,SR4sm,10.0,12.8,3.2,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2018-08-eff/SR4sm/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-08-eff/SR4sm/dataInfo.txt
ATLAS-SUSY-2018-08-eff,ATLAS,13,139.0,SRDF110,19.0,22.0,4.0,,,,2.0,,,13TeV/ATLAS/ATLAS-SUSY-2018-08-eff/SRDF110/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-08-eff/SRDF110/dataInfo.txt
ATLAS-SUSY-2018-08-eff,ATLAS,13,139.0,SRDF120,13.0,16.3,3.2,,,,2.0,,,13TeV/ATLAS/ATLAS-SUSY-2018-08-eff/SRDF120/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2018-08-eff/SRDF120/dataInfo.txt
