primary_dataset,run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,HLT_PFMET120_PFMHT120_IDTight,HLT_PFMETNoMu120_PFMHTNoMu_IDTight,HLT_PFHT800,HLT_PFHT900,HLT_IsoMu20,HLT_IsoMu24,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status,HLT_PFMET110_PFMHT110_IDTight,HLT_PFMET170_HBHECleaned,HLT_PFMET170_NotCleaned,HLT_IsoTkMu24,HLT_Mu50,leading_muon_pt
MET,279975,93,65832067,27.845,-1.70511,63.5871,-2.42478,0.7912,-35.7421,12,2,0,80.3679,233.399,49.5685,30.7994,0,0,0,0.0,2,0,0,0.576459,37,2146,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,
MET,279975,93,66857923,34.5395,-0.440555,65.3997,0.129034,1.0,-30.8601,7,1,1,65.3997,169.541,65.3997,29.8549,1,0,1,125.764,0,0,0,0.531292,35,2024,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,
MET,279975,93,66205891,55.542,-0.406116,35.7233,-0.693339,1.0,19.8187,7,1,0,35.7233,116.019,35.7233,17.2983,1,0,1,31.1273,2,0,0,0.752555,28,1915,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,
MET,279975,93,65486468,39.2928,0.0411504,67.4808,0.0315041,0.334483,-28.188,6,3,2,201.746,251.149,90.3898,76.8646,3,0,3,78.892,1,1,1,0.962824,27,1565,2,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,1.0,
MET,279975,93,66129245,45.1796,-3.05354,0.0,0.0,0.0,45.1796,8,0,0,0.0,109.366,18.3351,17.5189,0,0,0,0.0,0,0,0,0.538472,48,2883,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1.0,0.0,0.0,0.0,0.0,
MET,279975,93,66897670,27.9114,-0.930052,0.0,0.0,0.0,27.9114,4,0,0,0.0,59.8692,21.028,14.7823,0,0,0,0.0,1,0,0,0.556393,34,2055,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1.0,0.0,0.0,0.0,0.0,
MET,279975,93,66903433,74.0278,0.242158,73.1455,-0.264254,1.0,0.882248,11,1,1,73.1455,238.432,73.1455,26.6347,1,0,1,12.4755,1,0,0,0.586221,28,2176,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,
MET,279975,93,65327497,223.895,-1.389,239.148,-1.27544,1.0,-15.2534,2,1,1,239.148,250.66,239.148,11.5122,0,0,0,0.0,0,0,0,0.470335,24,1540,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,-1,1,1,1,-1,1,1,0,0.0,1.0,0.0,0.0,0.0,
MET,279975,93,66720262,221.826,-0.626597,172.954,-0.658111,1.0,48.8721,10,1,1,172.954,287.219,172.954,16.2767,0,0,0,0.0,0,0,0,0.533146,31,1673,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,-1,1,1,1,-1,1,1,0,0.0,1.0,0.0,0.0,0.0,
MET,279975,93,65848772,151.785,-2.02487,162.725,0.909849,0.887158,-10.9399,6,2,1,183.423,238.725,144.557,38.8662,0,0,0,0.0,0,0,0,0.360247,25,1854,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1.0,0.0,0.0,0.0,0.0,
