primary_dataset,trigger,offline_variable,bin,total,passed,value_low,value_high,efficiency
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[210, 220)",0,0.0,,,
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[220, 230)",0,0.0,,,
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[230, 240)",1,1.0,231.32,231.32,1.0
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[240, 250)",1,1.0,242.887,242.887,1.0
SingleMuon,HLT_Mu50,leading_muon_pt,"[0, 10)",82,9.0,0.0,0.0,0.10975609756097561
SingleMuon,HLT_Mu50,leading_muon_pt,"[10, 20)",309,11.0,10.11,19.9513,0.03559870550161812
SingleMuon,HLT_Mu50,leading_muon_pt,"[20, 30)",1663,6.0,20.0475,29.9953,0.0036079374624173183
SingleMuon,HLT_Mu50,leading_muon_pt,"[30, 40)",1471,4.0,30.0088,39.999,0.002719238613188307
SingleMuon,HLT_Mu50,leading_muon_pt,"[40, 50)",720,18.0,40.0008,49.9575,0.025
SingleMuon,HLT_Mu50,leading_muon_pt,"[50, 60)",366,315.0,50.008,59.9782,0.860655737704918
SingleMuon,HLT_Mu50,leading_muon_pt,"[60, 70)",143,120.0,60.029,69.5158,0.8391608391608392
SingleMuon,HLT_Mu50,leading_muon_pt,"[70, 80)",71,61.0,70.1532,79.9033,0.8591549295774648
SingleMuon,HLT_Mu50,leading_muon_pt,"[80, 90)",47,32.0,80.583,89.7647,0.6808510638297872
SingleMuon,HLT_Mu50,leading_muon_pt,"[90, 100)",23,18.0,90.1789,99.8865,0.782608695652174
SingleMuon,HLT_Mu50,leading_muon_pt,"[100, 110)",18,13.0,100.265,109.658,0.7222222222222222
SingleMuon,HLT_Mu50,leading_muon_pt,"[110, 120)",22,15.0,110.592,119.931,0.6818181818181818
SingleMuon,HLT_Mu50,leading_muon_pt,"[120, 130)",13,8.0,120.41,129.686,0.6153846153846154
SingleMuon,HLT_Mu50,leading_muon_pt,"[130, 140)",8,5.0,130.833,139.874,0.625
SingleMuon,HLT_Mu50,leading_muon_pt,"[140, 150)",7,4.0,141.011,147.416,0.5714285714285714
SingleMuon,HLT_Mu50,leading_muon_pt,"[150, 160)",4,2.0,154.816,158.255,0.5
SingleMuon,HLT_Mu50,leading_muon_pt,"[160, 170)",3,3.0,162.01,165.805,1.0
SingleMuon,HLT_Mu50,leading_muon_pt,"[170, 180)",4,2.0,173.71,179.88,0.5
SingleMuon,HLT_Mu50,leading_muon_pt,"[180, 190)",4,2.0,183.838,189.551,0.5
SingleMuon,HLT_Mu50,leading_muon_pt,"[190, 200)",0,0.0,,,
SingleMuon,HLT_Mu50,leading_muon_pt,"[200, 210)",1,0.0,201.174,201.174,0.0
SingleMuon,HLT_Mu50,leading_muon_pt,"[210, 220)",0,0.0,,,
SingleMuon,HLT_Mu50,leading_muon_pt,"[220, 230)",0,0.0,,,
SingleMuon,HLT_Mu50,leading_muon_pt,"[230, 240)",1,1.0,231.32,231.32,1.0
SingleMuon,HLT_Mu50,leading_muon_pt,"[240, 250)",1,0.0,242.887,242.887,0.0
