analysis,experiment,sqrt_s,luminosity,signal_region,N_obs,N_exp,sigma_exp,MET,HT_or_meff,N_jets,N_leptons,N_btags,category,source_path,source_url,source_comment,MET_extracted,HT_or_meff_extracted,N_jets_extracted,N_btags_extracted,N_leptons_extracted,MT2_low,MT2_high,MET_threshold,HT_meff_threshold,Njets_threshold,Nb_threshold,is_compressed,is_disappearing_track,is_long_lived,is_displaced,is_high_MET_label,is_high_multiplicity_label,category_enriched,MET_enriched,HT_or_meff_enriched,N_jets_enriched,N_leptons_enriched,N_btags_enriched,MET_imputed,MET_enriched_complete,HT_or_meff_imputed,HT_or_meff_enriched_complete,N_jets_imputed,N_jets_enriched_complete,N_leptons_imputed,N_leptons_enriched_complete,N_btags_imputed,N_btags_enriched_complete,category_imputed,category_enriched_complete,metadata_imputation_count,metadata_verified_fraction
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,4j_Meff_1400,199.0,182.0,16.0,,1400.0,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_1400/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_1400/dataInfo.txt,,,1400.0,,,,,,,1400.0,,,0,0,0,0,0,0,,,1400.0,4.0,,,1,500.0,0,1400.0,0,4.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,4j_Meff_1800,55.0,49.0,7.0,,1800.0,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_1800/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_1800/dataInfo.txt,,,1800.0,,,,,,,1800.0,,,0,0,0,0,0,0,,,1800.0,4.0,,,1,500.0,0,1800.0,0,4.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,4j_Meff_2200,24.0,16.5,2.7,,2200.0,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_2200/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_2200/dataInfo.txt,,,2200.0,,,,,,,2200.0,,,0,0,0,0,0,0,,,2200.0,4.0,,,1,500.0,0,2200.0,0,4.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,4j_Meff_2600,4.0,5.8,2.0,,2600.0,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_2600/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_2600/dataInfo.txt,,,2600.0,,,,,,,2600.0,,,0,0,0,0,0,0,,,2600.0,4.0,,,1,500.0,0,2600.0,0,4.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,4j_Meff_3000,2.0,2.0,0.6,,3000.0,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_3000/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_3000/dataInfo.txt,,,3000.0,,,,,,,3000.0,,,0,0,0,0,0,0,,,3000.0,4.0,,,1,500.0,0,3000.0,0,4.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,5j_Meff_1600,135.0,128.0,14.0,,1600.0,5.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_1600/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_1600/dataInfo.txt,,,1600.0,,,,,,,1600.0,,,0,0,0,0,0,0,,,1600.0,5.0,,,1,500.0,0,1600.0,0,5.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,5j_Meff_1700,49.0,43.0,5.0,,1700.0,5.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_1700/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_1700/dataInfo.txt,,,1700.0,,,,,,,1700.0,,,0,0,0,0,0,0,,,1700.0,5.0,,,1,500.0,0,1700.0,0,5.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,5j_Meff_2000,59.0,65.0,7.0,,2000.0,5.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_2000/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_2000/dataInfo.txt,,,2000.0,,,,,,,2000.0,,,0,0,0,0,0,0,,,2000.0,5.0,,,1,500.0,0,2000.0,0,5.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,5j_Meff_2600,10.0,9.4,2.1,,2600.0,5.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_2600/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_2600/dataInfo.txt,,,2600.0,,,,,,,2600.0,,,0,0,0,0,0,0,,,2600.0,5.0,,,1,500.0,0,2600.0,0,5.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,6j_Meff_1200,276.0,274.0,32.0,,1200.0,6.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_1200/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_1200/dataInfo.txt,,,1200.0,,,,,,,1200.0,,,0,0,0,0,0,0,,,1200.0,6.0,,,1,500.0,0,1200.0,0,6.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
