row_id,analysis,signal_region,HT_or_meff,MET,N_btags,N_jets,N_leptons,is_compressed,is_disappearing_track,is_displaced,is_high_MET,is_high_multiplicity,is_long_lived,is_reconstruction_difficult
321,ATLAS-SUSY-2018-22-multibin-eff,MB-SSd-4-1000-10,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,ATLAS-SUSY-2018-22-multibin-eff,MB-SSd-4-1000-16,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,ATLAS-SUSY-2018-22-multibin-eff,MB-SSd-4-1000-22,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,ATLAS-SUSY-2018-22-multibin-eff,MB-SSd-4-1600-10,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,ATLAS-SUSY-2018-22-multibin-eff,MB-SSd-4-1600-16,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,ATLAS-SUSY-2018-22-multibin-eff,MB-SSd-4-1600-22,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,ATLAS-SUSY-2018-22-multibin-eff,MB-SSd-4-2200-16,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,ATLAS-SUSY-2018-22-multibin-eff,MB-SSd-4-2200-22,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,ATLAS-SUSY-2018-22-multibin-eff,MB-SSd-4-2800-16,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,ATLAS-SUSY-2018-22-multibin-eff,MB-SSd-4-2800-22,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,ATLAS-SUSY-2018-31-eff,SRA_H,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,ATLAS-SUSY-2018-31-eff,SRA_L,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,ATLAS-SUSY-2018-31-eff,SRA_M,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,ATLAS-SUSY-2018-31-eff,SRB,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,ATLAS-SUSY-2018-31-eff,SRC_22,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,ATLAS-SUSY-2018-31-eff,SRC_24,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,ATLAS-SUSY-2018-31-eff,SRC_26,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,ATLAS-SUSY-2018-31-eff,SRC_28,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,ATLAS-SUSY-2018-32-eff,"SR-DF-0J_mt2=[100,105)",100.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,ATLAS-SUSY-2018-32-eff,"SR-DF-0J_mt2=[105,110)",105.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,ATLAS-SUSY-2018-32-eff,"SR-DF-0J_mt2=[110,120)",110.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,ATLAS-SUSY-2018-32-eff,"SR-DF-0J_mt2=[120,140)",120.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,ATLAS-SUSY-2018-32-eff,"SR-DF-0J_mt2=[140,160)",140.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,ATLAS-SUSY-2018-32-eff,"SR-DF-0J_mt2=[160,180)",160.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,ATLAS-SUSY-2018-32-eff,"SR-DF-0J_mt2=[180,220)",180.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,ATLAS-SUSY-2018-32-eff,"SR-DF-0J_mt2=[220,260)",220.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,ATLAS-SUSY-2018-32-eff,"SR-DF-0J_mt2=[260,inf)",260.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,ATLAS-SUSY-2018-32-eff,"SR-DF-1J_mt2=[100,105)",100.0,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,ATLAS-SUSY-2018-32-eff,"SR-DF-1J_mt2=[105,110)",105.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,ATLAS-SUSY-2018-32-eff,"SR-DF-1J_mt2=[110,120)",110.0,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,ATLAS-SUSY-2018-32-eff,"SR-DF-1J_mt2=[120,140)",120.0,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,ATLAS-SUSY-2018-32-eff,"SR-DF-1J_mt2=[140,160)",140.0,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,ATLAS-SUSY-2018-32-eff,"SR-DF-1J_mt2=[160,180)",160.0,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,ATLAS-SUSY-2018-32-eff,"SR-DF-1J_mt2=[180,220)",180.0,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,ATLAS-SUSY-2018-32-eff,"SR-DF-1J_mt2=[220,260)",220.0,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,ATLAS-SUSY-2018-32-eff,"SR-DF-1J_mt2=[260,inf)",260.0,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
357,ATLAS-SUSY-2018-32-eff,"SR-SF-0J_mt2=[100,105)",100.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,ATLAS-SUSY-2018-32-eff,"SR-SF-0J_mt2=[105,110)",105.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,ATLAS-SUSY-2018-32-eff,"SR-SF-0J_mt2=[110,120)",110.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
